JS_ID,Com_ID,WE_Role,Proficiency,Domain
19897,87831,Digital Content Creator,Programming,Computer Science
19897,8539,Business Development Manager,Data Analysis,Statistics
19897,8539,Business Development Manager,Problem Solving,Mathematics
19897,8539,Business Development Manager,Project Management,Business
19897,8539,Business Development Manager,Public Speaking,Communication
86430,51230,Data Entry Clerk,Graphic Design,Design
86430,51230,Data Entry Clerk,Creative Writing,Literature
86430,51230,Data Entry Clerk,Programming,Computer Science
86430,44013,Tax Preparer,Problem Solving,Mathematics
86430,44013,Tax Preparer,Project Management,Business
86430,44013,Tax Preparer,Creative Writing,Literature
86430,88498,Regulatory Affairs Specialist,Programming,Computer Science
86430,88498,Regulatory Affairs Specialist,Creative Writing,Literature
86430,88498,Regulatory Affairs Specialist,Web Development,Computer Science
86430,78538,Software Developer,Digital Marketing,Business
86430,78538,Software Developer,Public Speaking,Communication
86430,78538,Software Developer,Programming,Computer Science
86430,54618,Research Scientist,Marketing,Business
86430,54618,Research Scientist,Public Speaking,Communication
86430,54618,Research Scientist,Web Development,Computer Science
65415,61483,Technical Support Specialist,Graphic Design,Design
65415,61483,Technical Support Specialist,Creative Writing,Literature
65415,119,Recruiting Coordinator,Problem Solving,Mathematics
65415,119,Recruiting Coordinator,Digital Marketing,Business
65415,119,Recruiting Coordinator,Project Management,Business
65415,119,Recruiting Coordinator,Public Speaking,Communication
65415,80294,Sales Support Specialist,Problem Solving,Mathematics
65415,80294,Sales Support Specialist,Digital Marketing,Business
65415,80294,Sales Support Specialist,Project Management,Business
55654,88498,Lawyer,Problem Solving,Mathematics
55654,88498,Lawyer,Graphic Design,Design
55654,88498,Lawyer,Marketing,Business
55654,88498,Lawyer,Web Development,Computer Science
55654,82267,Cybersecurity Engineer,Problem Solving,Mathematics
55654,82267,Cybersecurity Engineer,Web Development,Computer Science
55654,82267,Cybersecurity Engineer,Marketing,Business
55654,82267,Cybersecurity Engineer,Programming,Computer Science
55654,63656,Market Research Manager,Marketing,Business
55654,63656,Market Research Manager,Project Management,Business
55654,63656,Market Research Manager,Creative Writing,Literature
49863,27355,Business Operations Manager,Problem Solving,Mathematics
49863,27355,Business Operations Manager,Marketing,Business
49863,47993,Customer Service Representative,Data Analysis,Statistics
49863,47993,Customer Service Representative,Digital Marketing,Business
49863,47993,Customer Service Representative,Creative Writing,Literature
49863,47993,Customer Service Representative,Programming,Computer Science
49863,83911,HR Coordinator,Marketing,Business
49863,83911,HR Coordinator,Creative Writing,Literature
49863,83911,HR Coordinator,Problem Solving,Mathematics
49863,83911,HR Coordinator,Digital Marketing,Business
49863,83911,HR Coordinator,Programming,Computer Science
49863,8539,Operations Coordinator,Digital Marketing,Business
49863,52528,Supply Chain Manager,Problem Solving,Mathematics
49863,52528,Supply Chain Manager,Digital Marketing,Business
49863,52528,Supply Chain Manager,Public Speaking,Communication
49863,52528,Supply Chain Manager,Programming,Computer Science
75130,82267,Content Writer,Digital Marketing,Business
75130,43999,Mechanical Technician,Problem Solving,Mathematics
75130,43999,Mechanical Technician,Marketing,Business
75130,43999,Mechanical Technician,Programming,Computer Science
75130,10776,IT Security Analyst,Digital Marketing,Business
75130,10776,IT Security Analyst,Project Management,Business
75130,10776,IT Security Analyst,Web Development,Computer Science
15881,88136,Marketing Analyst,Digital Marketing,Business
15881,34672,Financial Analyst,Problem Solving,Mathematics
15881,34672,Financial Analyst,Public Speaking,Communication
15881,80507,Digital Marketing Coordinator,Problem Solving,Mathematics
15881,80507,Digital Marketing Coordinator,Project Management,Business
15881,80507,Digital Marketing Coordinator,Public Speaking,Communication
15881,80507,Digital Marketing Coordinator,Web Development,Computer Science
15881,52093,IT Analyst,Graphic Design,Design
15881,9916,Event Planner,Graphic Design,Design
15881,9916,Event Planner,Web Development,Computer Science
15881,9916,Event Planner,Public Speaking,Communication
15881,9916,Event Planner,Programming,Computer Science
88002,98020,Regulatory Affairs Specialist,Programming,Computer Science
88002,13227,Biomedical Engineer,Data Analysis,Statistics
88002,13227,Biomedical Engineer,Project Management,Business
88002,13227,Biomedical Engineer,Programming,Computer Science
88002,47327,User Experience Researcher,Problem Solving,Mathematics
88002,47327,User Experience Researcher,Public Speaking,Communication
88002,47327,User Experience Researcher,Creative Writing,Literature
79161,89079,HR Specialist,Web Development,Computer Science
79161,79254,Construction Manager,Graphic Design,Design
79161,79254,Construction Manager,Creative Writing,Literature
79161,79254,Construction Manager,Programming,Computer Science
92356,86446,User Experience Researcher,Web Development,Computer Science
92356,8321,Executive Assistant,Problem Solving,Mathematics
92356,8321,Executive Assistant,Digital Marketing,Business
94332,18207,Cybersecurity Engineer,Project Management,Business
94332,18207,Cybersecurity Engineer,Web Development,Computer Science
3541,19218,Operations Manager,Data Analysis,Statistics
3541,19218,Operations Manager,Marketing,Business
3541,19218,Operations Manager,Public Speaking,Communication
3541,19218,Operations Manager,Programming,Computer Science
3541,18207,Graphic Designer,Marketing,Business
3541,13227,SEO Specialist,Digital Marketing,Business
3541,3890,IT Security Analyst,Problem Solving,Mathematics
3541,3890,IT Security Analyst,Digital Marketing,Business
3541,3890,IT Security Analyst,Project Management,Business
3541,3890,IT Security Analyst,Programming,Computer Science
3541,79856,Nurse Practitioner,Data Analysis,Statistics
3541,79856,Nurse Practitioner,Programming,Computer Science
95952,99593,Human Resources Manager,Data Analysis,Statistics
95952,99593,Human Resources Manager,Digital Marketing,Business
95952,99593,Human Resources Manager,Graphic Design,Design
95952,99593,Human Resources Manager,Programming,Computer Science
95952,56146,Market Research Assistant,Public Speaking,Communication
95952,56146,Market Research Assistant,Creative Writing,Literature
95952,56146,Market Research Assistant,Programming,Computer Science
95952,82461,Sales Coordinator,Data Analysis,Statistics
95952,82461,Sales Coordinator,Digital Marketing,Business
95952,82461,Sales Coordinator,Public Speaking,Communication
95952,82461,Sales Coordinator,Programming,Computer Science
95952,18207,Human Resources Manager,Marketing,Business
95952,18207,Human Resources Manager,Web Development,Computer Science
12736,39197,HR Manager,Digital Marketing,Business
12736,39197,HR Manager,Public Speaking,Communication
12736,56188,Financial Planner,Graphic Design,Design
12736,44556,Operations Coordinator,Creative Writing,Literature
12736,44556,Operations Coordinator,Web Development,Computer Science
12736,71515,Customer Experience Manager,Data Analysis,Statistics
12736,71515,Customer Experience Manager,Problem Solving,Mathematics
12736,71515,Customer Experience Manager,Digital Marketing,Business
29783,39197,Business Development Manager,Problem Solving,Mathematics
29783,39197,Business Development Manager,Web Development,Computer Science
29783,43521,Healthcare Administrator,Digital Marketing,Business
29783,43521,Healthcare Administrator,Marketing,Business
29783,43521,Healthcare Administrator,Project Management,Business
29783,13567,Marketing Director,Digital Marketing,Business
29783,13567,Marketing Director,Web Development,Computer Science
74374,49858,Recruitment Specialist,Graphic Design,Design
74374,49858,Recruitment Specialist,Digital Marketing,Business
74374,49858,Recruitment Specialist,Public Speaking,Communication
74374,49858,Recruitment Specialist,Creative Writing,Literature
74374,42897,IT Manager,Project Management,Business
74374,93094,Electrical Engineer,Creative Writing,Literature
17996,71737,Dental Assistant,Digital Marketing,Business
17996,19052,Financial Auditor,Marketing,Business
17996,31349,Physician Assistant,Graphic Design,Design
17996,31349,Physician Assistant,Public Speaking,Communication
17996,31349,Physician Assistant,Web Development,Computer Science
17996,19218,Multimedia Artist,Marketing,Business
17996,19218,Multimedia Artist,Project Management,Business
17996,19218,Multimedia Artist,Creative Writing,Literature
34853,23985,IT Project Manager,Web Development,Computer Science
20317,99593,Environmental Engineer,Data Analysis,Statistics
20317,99593,Environmental Engineer,Graphic Design,Design
20317,5413,Systems Administrator,Marketing,Business
20317,5413,Systems Administrator,Project Management,Business
20317,5413,Systems Administrator,Public Speaking,Communication
20317,5413,Systems Administrator,Programming,Computer Science
20317,56550,Data Analyst,Problem Solving,Mathematics
20317,56949,Customer Experience Manager,Project Management,Business
20317,56949,Customer Experience Manager,Creative Writing,Literature
79097,94380,Systems Analyst,Graphic Design,Design
79097,94380,Systems Analyst,Marketing,Business
79097,94380,Systems Analyst,Programming,Computer Science
79097,71362,IT Specialist,Programming,Computer Science
79097,71362,IT Specialist,Project Management,Business
79097,71362,IT Specialist,Public Speaking,Communication
79097,71362,IT Specialist,Web Development,Computer Science
79097,83911,SEO Specialist,Marketing,Business
79097,83911,SEO Specialist,Creative Writing,Literature
61667,91013,Account Manager,Digital Marketing,Business
61667,9750,Insurance Agent,Public Speaking,Communication
85284,49858,Multimedia Artist,Problem Solving,Mathematics
85284,49858,Multimedia Artist,Creative Writing,Literature
85284,81829,Market Research Assistant,Data Analysis,Statistics
85284,81829,Market Research Assistant,Graphic Design,Design
85284,81829,Market Research Assistant,Marketing,Business
85284,81829,Market Research Assistant,Public Speaking,Communication
60945,87831,Software Engineer,Digital Marketing,Business
60945,87831,Software Engineer,Programming,Computer Science
60945,94106,Insurance Agent,Programming,Computer Science
60945,94106,Insurance Agent,Project Management,Business
60945,94106,Insurance Agent,Web Development,Computer Science
60945,40315,IT Project Manager,Problem Solving,Mathematics
67339,93307,Health Educator,Digital Marketing,Business
67339,5834,Electrician,Data Analysis,Statistics
67339,23465,Public Relations Coordinator,Public Speaking,Communication
96798,47708,Data Analyst,Data Analysis,Statistics
96798,47708,Data Analyst,Graphic Design,Design
96798,48407,IT Manager,Marketing,Business
96798,48407,IT Manager,Web Development,Computer Science
78590,62746,Brand Manager,Problem Solving,Mathematics
78590,62746,Brand Manager,Project Management,Business
78590,62746,Brand Manager,Programming,Computer Science
78590,49858,Copywriter,Creative Writing,Literature
78590,56188,Recruiting Coordinator,Problem Solving,Mathematics
78590,56188,Recruiting Coordinator,Digital Marketing,Business
78590,39197,Supply Chain Specialist,Problem Solving,Mathematics
78590,39197,Supply Chain Specialist,Project Management,Business
78590,39197,Supply Chain Specialist,Public Speaking,Communication
78590,39197,Supply Chain Specialist,Web Development,Computer Science
34751,71515,Research Scientist,Graphic Design,Design
34751,71515,Research Scientist,Marketing,Business
34751,71515,Research Scientist,Problem Solving,Mathematics
34751,71515,Research Scientist,Project Management,Business
34751,71515,Research Scientist,Programming,Computer Science
7976,72160,Network Administrator,Digital Marketing,Business
7976,72160,Network Administrator,Marketing,Business
7976,72160,Network Administrator,Programming,Computer Science
7976,15223,Sales Manager,Web Development,Computer Science
7976,72160,Marketing Coordinator,Problem Solving,Mathematics
7976,72160,Marketing Coordinator,Marketing,Business
23497,50885,Electrical Engineer,Web Development,Computer Science
23497,119,Marketing Assistant,Problem Solving,Mathematics
23497,119,Marketing Assistant,Marketing,Business
23497,119,Marketing Assistant,Public Speaking,Communication
38853,43932,HR Specialist,Web Development,Computer Science
38853,17808,IT Support Specialist,Digital Marketing,Business
38853,17808,IT Support Specialist,Marketing,Business
38853,17808,IT Support Specialist,Web Development,Computer Science
38853,46976,Sales Manager,Marketing,Business
38853,46976,Sales Manager,Project Management,Business
38853,46976,Sales Manager,Public Speaking,Communication
38853,46976,Sales Manager,Programming,Computer Science
90520,27486,Medical Billing Specialist,Problem Solving,Mathematics
90520,27486,Medical Billing Specialist,Marketing,Business
90520,27486,Medical Billing Specialist,Project Management,Business
90520,27486,Medical Billing Specialist,Web Development,Computer Science
90520,1498,Financial Analyst,Data Analysis,Statistics
90520,1498,Financial Analyst,Digital Marketing,Business
90520,1498,Financial Analyst,Project Management,Business
90520,1498,Financial Analyst,Creative Writing,Literature
24887,79856,Medical Office Manager,Data Analysis,Statistics
24887,79856,Medical Office Manager,Problem Solving,Mathematics
24887,79856,Medical Office Manager,Digital Marketing,Business
24887,79856,Medical Office Manager,Public Speaking,Communication
24887,79856,Medical Office Manager,Programming,Computer Science
24887,44013,Inventory Manager,Problem Solving,Mathematics
56561,28057,Technical Support Specialist,Graphic Design,Design
56561,28057,Technical Support Specialist,Data Analysis,Statistics
56561,28057,Technical Support Specialist,Marketing,Business
56561,28057,Technical Support Specialist,Problem Solving,Mathematics
56561,28057,Technical Support Specialist,Project Management,Business
56561,76875,Operations Manager,Project Management,Business
56561,76875,Operations Manager,Programming,Computer Science
98697,86446,Medical Billing Specialist,Data Analysis,Statistics
98697,86446,Medical Billing Specialist,Problem Solving,Mathematics
98697,86446,Medical Billing Specialist,Graphic Design,Design
98697,86446,Medical Billing Specialist,Programming,Computer Science
98697,50605,Supply Chain Analyst,Problem Solving,Mathematics
98697,50605,Supply Chain Analyst,Project Management,Business
98697,50605,Supply Chain Analyst,Programming,Computer Science
98697,51230,Operations Supervisor,Graphic Design,Design
98697,5413,Insurance Agent,Problem Solving,Mathematics
98697,5413,Insurance Agent,Digital Marketing,Business
98697,5413,Insurance Agent,Project Management,Business
98697,5413,Insurance Agent,Programming,Computer Science
98697,34187,Medical Billing Specialist,Programming,Computer Science
98697,34187,Medical Billing Specialist,Digital Marketing,Business
98697,34187,Medical Billing Specialist,Creative Writing,Literature
98697,34187,Medical Billing Specialist,Web Development,Computer Science
61728,41804,Accountant,Data Analysis,Statistics
61728,41804,Accountant,Problem Solving,Mathematics
61728,41804,Accountant,Graphic Design,Design
61728,41804,Accountant,Public Speaking,Communication
30782,8786,Financial Analyst,Data Analysis,Statistics
30782,8786,Financial Analyst,Marketing,Business
30782,8786,Financial Analyst,Programming,Computer Science
28461,82461,Data Entry Clerk,Data Analysis,Statistics
28461,82461,Data Entry Clerk,Problem Solving,Mathematics
28461,82461,Data Entry Clerk,Project Management,Business
28461,27355,Dental Assistant,Graphic Design,Design
28461,27355,Dental Assistant,Marketing,Business
28461,27355,Dental Assistant,Project Management,Business
28461,27355,Dental Assistant,Creative Writing,Literature
28461,17808,Nurse Practitioner,Creative Writing,Literature
28461,17808,Nurse Practitioner,Web Development,Computer Science
28461,71515,Dental Hygienist,Problem Solving,Mathematics
28461,71515,Dental Hygienist,Marketing,Business
28461,71515,Dental Hygienist,Project Management,Business
28461,71515,Dental Hygienist,Programming,Computer Science
81517,45130,IT Project Manager,Marketing,Business
81517,45130,IT Project Manager,Web Development,Computer Science
81517,56550,Cybersecurity Engineer,Problem Solving,Mathematics
81517,47993,Recruiting Coordinator,Problem Solving,Mathematics
81517,47993,Recruiting Coordinator,Digital Marketing,Business
81517,47993,Recruiting Coordinator,Public Speaking,Communication
47671,91013,HR Recruiter,Graphic Design,Design
47671,91013,HR Recruiter,Project Management,Business
47671,91013,HR Recruiter,Public Speaking,Communication
47671,70386,Legal Analyst,Problem Solving,Mathematics
47671,70386,Legal Analyst,Digital Marketing,Business
47671,70386,Legal Analyst,Project Management,Business
47671,70386,Legal Analyst,Programming,Computer Science
47671,69715,Market Research Manager,Problem Solving,Mathematics
47671,69715,Market Research Manager,Graphic Design,Design
47671,69715,Market Research Manager,Public Speaking,Communication
47671,39197,Financial Auditor,Data Analysis,Statistics
47671,39197,Financial Auditor,Problem Solving,Mathematics
47671,69715,Graphic Artist,Graphic Design,Design
47671,69715,Graphic Artist,Creative Writing,Literature
47671,69715,Graphic Artist,Problem Solving,Mathematics
47671,69715,Graphic Artist,Digital Marketing,Business
47671,69715,Graphic Artist,Public Speaking,Communication
49216,2449,Occupational Therapist,Graphic Design,Design
49216,2449,Occupational Therapist,Marketing,Business
49216,2449,Occupational Therapist,Project Management,Business
49216,2449,Occupational Therapist,Web Development,Computer Science
49216,2449,Occupational Therapist,Digital Marketing,Business
49216,30679,Business Consultant,Programming,Computer Science
49216,30679,Business Consultant,Web Development,Computer Science
49216,91043,Investment Analyst,Digital Marketing,Business
49216,91043,Investment Analyst,Public Speaking,Communication
49216,91043,Investment Analyst,Creative Writing,Literature
49216,91043,Investment Analyst,Web Development,Computer Science
68066,15223,Tax Accountant,Web Development,Computer Science
68066,49186,Event Coordinator,Marketing,Business
97355,26386,Quality Control Inspector,Web Development,Computer Science
67642,119,Systems Analyst,Web Development,Computer Science
67642,70386,Technical Writer,Project Management,Business
67642,70386,Technical Writer,Web Development,Computer Science
67642,91301,Medical Office Manager,Graphic Design,Design
67642,91301,Medical Office Manager,Creative Writing,Literature
67642,91301,Medical Office Manager,Problem Solving,Mathematics
67642,91301,Medical Office Manager,Digital Marketing,Business
67642,91301,Medical Office Manager,Public Speaking,Communication
67642,76334,Marketing Specialist,Graphic Design,Design
67642,76334,Marketing Specialist,Project Management,Business
67642,76334,Marketing Specialist,Creative Writing,Literature
67642,98753,Marketing Analyst,Problem Solving,Mathematics
67642,98753,Marketing Analyst,Web Development,Computer Science
10678,9750,Insurance Broker,Digital Marketing,Business
10678,9750,Insurance Broker,Marketing,Business
10678,9750,Insurance Broker,Project Management,Business
14623,74230,Sales Support Specialist,Graphic Design,Design
14623,50605,Technical Support Engineer,Data Analysis,Statistics
14623,50605,Technical Support Engineer,Project Management,Business
14623,50605,Technical Support Engineer,Digital Marketing,Business
14623,50605,Technical Support Engineer,Public Speaking,Communication
14623,50605,Technical Support Engineer,Programming,Computer Science
14623,84040,Medical Billing Specialist,Problem Solving,Mathematics
14623,84040,Medical Billing Specialist,Public Speaking,Communication
14623,84040,Medical Billing Specialist,Web Development,Computer Science
14623,23465,Supply Chain Analyst,Digital Marketing,Business
14623,23465,Supply Chain Analyst,Marketing,Business
67962,14363,Interior Decorator,Problem Solving,Mathematics
67962,14363,Interior Decorator,Marketing,Business
54847,48431,Sales Support Specialist,Graphic Design,Design
54847,48431,Sales Support Specialist,Project Management,Business
54847,48431,Sales Support Specialist,Public Speaking,Communication
54847,48431,Sales Support Specialist,Programming,Computer Science
66676,79856,Healthcare Administrator,Project Management,Business
66676,16706,Brand Strategist,Graphic Design,Design
66676,42897,Production Supervisor,Graphic Design,Design
66676,42897,Production Supervisor,Digital Marketing,Business
66676,42897,Production Supervisor,Programming,Computer Science
66676,58983,SEO Specialist,Public Speaking,Communication
66676,58983,SEO Specialist,Creative Writing,Literature
66676,3890,Legal Assistant,Problem Solving,Mathematics
66676,3890,Legal Assistant,Project Management,Business
15602,28057,Sales Support Specialist,Problem Solving,Mathematics
15602,28057,Sales Support Specialist,Digital Marketing,Business
15602,28057,Sales Support Specialist,Creative Writing,Literature
15602,28057,Sales Support Specialist,Programming,Computer Science
15602,9259,Marketing Coordinator,Data Analysis,Statistics
15602,9259,Marketing Coordinator,Project Management,Business
15602,9259,Marketing Coordinator,Creative Writing,Literature
15602,9259,Marketing Coordinator,Programming,Computer Science
15602,8539,HR Specialist,Digital Marketing,Business
85074,93585,Account Coordinator,Project Management,Business
85074,93585,Account Coordinator,Web Development,Computer Science
27375,31445,Operations Manager,Marketing,Business
27375,31445,Operations Manager,Programming,Computer Science
27375,58983,SEO Specialist,Data Analysis,Statistics
27375,58983,SEO Specialist,Graphic Design,Design
27375,58983,SEO Specialist,Marketing,Business
27375,58983,SEO Specialist,Public Speaking,Communication
27375,13227,Administrative Assistant,Data Analysis,Statistics
27375,13227,Administrative Assistant,Problem Solving,Mathematics
27375,13227,Administrative Assistant,Graphic Design,Design
27375,13227,Administrative Assistant,Project Management,Business
59093,41181,Financial Advisor,Creative Writing,Literature
59093,27486,Systems Analyst,Graphic Design,Design
59093,27486,Systems Analyst,Digital Marketing,Business
59093,27486,Systems Analyst,Marketing,Business
59093,27486,Systems Analyst,Web Development,Computer Science
76902,52528,Technical Support Specialist,Data Analysis,Statistics
76902,52528,Technical Support Specialist,Creative Writing,Literature
76902,52528,Technical Support Specialist,Web Development,Computer Science
76902,13227,Public Accountant,Data Analysis,Statistics
76902,13227,Public Accountant,Marketing,Business
76902,13227,Public Accountant,Project Management,Business
76902,13227,Public Accountant,Digital Marketing,Business
76902,13227,Public Accountant,Public Speaking,Communication
76902,79254,Network Analyst,Data Analysis,Statistics
76902,79254,Network Analyst,Marketing,Business
76902,79254,Network Analyst,Creative Writing,Literature
76902,1539,Market Research Manager,Digital Marketing,Business
76902,1539,Market Research Manager,Public Speaking,Communication
76902,99593,Corporate Trainer,Problem Solving,Mathematics
76902,99593,Corporate Trainer,Project Management,Business
76902,99593,Corporate Trainer,Public Speaking,Communication
76902,99593,Corporate Trainer,Creative Writing,Literature
61780,16706,Network Security Engineer,Digital Marketing,Business
61780,16706,Network Security Engineer,Graphic Design,Design
61780,16706,Network Security Engineer,Marketing,Business
61780,88190,Marketing Analyst,Graphic Design,Design
61780,88190,Marketing Analyst,Public Speaking,Communication
61780,42943,Research Scientist,Data Analysis,Statistics
61780,42943,Research Scientist,Graphic Design,Design
61780,42943,Research Scientist,Public Speaking,Communication
61780,1695,Financial Risk Analyst,Data Analysis,Statistics
61780,1695,Financial Risk Analyst,Graphic Design,Design
61780,1695,Financial Risk Analyst,Programming,Computer Science
8854,5216,IT Security Specialist,Project Management,Business
8854,5216,IT Security Specialist,Web Development,Computer Science
8854,3890,IT Manager,Graphic Design,Design
8854,3890,IT Manager,Marketing,Business
8854,3890,IT Manager,Problem Solving,Mathematics
8854,3890,IT Manager,Web Development,Computer Science
8854,3890,IT Manager,Programming,Computer Science
8854,27486,Business Analyst,Project Management,Business
8854,27486,Business Analyst,Public Speaking,Communication
8854,34338,Digital Marketing Coordinator,Project Management,Business
8854,87831,Financial Analyst,Data Analysis,Statistics
8854,87831,Financial Analyst,Problem Solving,Mathematics
8854,87831,Financial Analyst,Graphic Design,Design
27084,30679,IT Support Specialist,Data Analysis,Statistics
27084,30679,IT Support Specialist,Project Management,Business
27084,63492,Graphic Artist,Marketing,Business
27084,63492,Graphic Artist,Web Development,Computer Science
27084,14363,Network Analyst,Data Analysis,Statistics
27084,14363,Network Analyst,Public Speaking,Communication
27084,34910,Digital Marketing Manager,Public Speaking,Communication
27084,14547,Web Developer,Public Speaking,Communication
26714,62746,Physical Therapist,Problem Solving,Mathematics
26714,62746,Physical Therapist,Project Management,Business
26714,62746,Physical Therapist,Creative Writing,Literature
26714,49186,Financial Risk Analyst,Data Analysis,Statistics
26714,49186,Financial Risk Analyst,Problem Solving,Mathematics
26714,49186,Financial Risk Analyst,Digital Marketing,Business
26714,49186,Financial Risk Analyst,Project Management,Business
26714,23985,Graphic Artist,Data Analysis,Statistics
26714,23985,Graphic Artist,Problem Solving,Mathematics
26714,42943,Investment Advisor,Data Analysis,Statistics
26714,42943,Investment Advisor,Graphic Design,Design
26714,42943,Investment Advisor,Public Speaking,Communication
26714,42943,Investment Advisor,Web Development,Computer Science
11378,21063,Interior Designer,Data Analysis,Statistics
11378,21063,Interior Designer,Problem Solving,Mathematics
11378,21063,Interior Designer,Programming,Computer Science
11378,43932,Research Assistant,Digital Marketing,Business
11378,43932,Research Assistant,Marketing,Business
11378,43932,Research Assistant,Public Speaking,Communication
11378,43932,Research Assistant,Creative Writing,Literature
13520,2449,Quality Control Inspector,Graphic Design,Design
13520,2449,Quality Control Inspector,Project Management,Business
13520,2449,Quality Control Inspector,Public Speaking,Communication
13520,2449,Quality Control Inspector,Creative Writing,Literature
11860,56146,Research Scientist,Digital Marketing,Business
11860,50885,Accountant,Digital Marketing,Business
11860,50885,Accountant,Public Speaking,Communication
11860,50885,Accountant,Creative Writing,Literature
11860,50885,Accountant,Programming,Computer Science
11860,62746,Data Entry Specialist,Data Analysis,Statistics
11860,62746,Data Entry Specialist,Public Speaking,Communication
45317,4713,Digital Marketing Manager,Digital Marketing,Business
45317,4713,Digital Marketing Manager,Graphic Design,Design
45317,4713,Digital Marketing Manager,Web Development,Computer Science
45317,27355,Content Writer,Data Analysis,Statistics
45317,27355,Content Writer,Problem Solving,Mathematics
45317,27355,Content Writer,Web Development,Computer Science
45317,27355,Content Writer,Programming,Computer Science
45317,41181,Compliance Officer,Marketing,Business
45317,41181,Compliance Officer,Public Speaking,Communication
45317,41181,Compliance Officer,Creative Writing,Literature
45317,83904,Financial Analyst,Problem Solving,Mathematics
45317,83904,Financial Analyst,Digital Marketing,Business
67355,71362,Insurance Broker,Data Analysis,Statistics
67355,71362,Insurance Broker,Problem Solving,Mathematics
67355,71362,Insurance Broker,Graphic Design,Design
58768,61483,Systems Engineer,Data Analysis,Statistics
58768,61483,Systems Engineer,Digital Marketing,Business
58768,61483,Systems Engineer,Marketing,Business
58768,61483,Systems Engineer,Programming,Computer Science
58768,34187,Supply Chain Analyst,Data Analysis,Statistics
58768,34187,Supply Chain Analyst,Problem Solving,Mathematics
58768,34187,Supply Chain Analyst,Marketing,Business
58768,34187,Supply Chain Analyst,Creative Writing,Literature
