JS_ID,Com_ID,WE_Role,WE_Salary,Duration,Year
30782,8786,Financial Analyst,3273900,9,2008
28461,82461,Data Entry Clerk,6712900,8,2008
28461,27355,Dental Assistant,5495600,6,2007
28461,17808,Nurse Practitioner,6434200,4,2011
28461,71515,Dental Hygienist,4295200,9,2003
81517,45130,IT Project Manager,8698000,8,2014
81517,56550,Cybersecurity Engineer,3148900,2,2020
81517,47993,Recruiting Coordinator,4213400,6,2000
47671,91013,HR Recruiter,9988700,3,2001
47671,70386,Legal Analyst,9660900,10,2012
47671,69715,Market Research Manager,1663000,5,2001
47671,39197,Financial Auditor,1096300,6,2014
47671,69715,Graphic Artist,9278100,2,2015
49216,2449,Occupational Therapist,6312400,3,2011
49216,30679,Business Consultant,1570900,9,2019
49216,91043,Investment Analyst,4237900,6,2017
68066,15223,Tax Accountant,8051500,2,2006
68066,49186,Event Coordinator,5601900,2,2002
97355,26386,Quality Control Inspector,9298400,4,2011
67642,119,Systems Analyst,2782400,6,2019
67642,70386,Technical Writer,6728000,10,2016
67642,91301,Medical Office Manager,5292600,4,2004
67642,76334,Marketing Specialist,908700,10,2009
67642,98753,Marketing Analyst,8458900,4,2002
10678,9750,Insurance Broker,306800,8,2007
14623,74230,Sales Support Specialist,5180100,8,2011
14623,50605,Technical Support Engineer,9326900,5,2010
14623,84040,Medical Billing Specialist,6668700,7,2002
14623,23465,Supply Chain Analyst,1360500,10,2010
67962,14363,Interior Decorator,2892600,8,2017
54847,48431,Sales Support Specialist,4685400,3,2000
66676,79856,Healthcare Administrator,3743400,8,2007
66676,16706,Brand Strategist,1046600,4,2018
66676,42897,Production Supervisor,9785800,7,2000
66676,58983,SEO Specialist,4148200,1,2005
66676,3890,Legal Assistant,3088200,6,2019
15602,28057,Sales Support Specialist,8085600,4,2014
15602,9259,Marketing Coordinator,2168700,7,2020
15602,8539,HR Specialist,8899800,5,2017
85074,93585,Account Coordinator,4472600,2,2014
27375,31445,Operations Manager,1522600,1,2017
27375,58983,SEO Specialist,179500,7,2013
27375,13227,Administrative Assistant,3735100,9,2020
59093,41181,Financial Advisor,6439700,6,2016
59093,27486,Systems Analyst,2623900,1,2010
76902,52528,Technical Support Specialist,6214600,5,2014
76902,13227,Public Accountant,5836200,1,2019
76902,79254,Network Analyst,5588900,5,2019
76902,1539,Market Research Manager,3961700,2,2003
76902,99593,Corporate Trainer,4130800,9,2002
61780,16706,Network Security Engineer,6558300,8,2008
61780,88190,Marketing Analyst,5926700,5,2011
61780,42943,Research Scientist,4336200,10,2015
61780,1695,Financial Risk Analyst,4414600,4,2016
8854,5216,IT Security Specialist,8470900,8,2003
8854,3890,IT Manager,4653800,10,2017
8854,27486,Business Analyst,8744200,4,2014
8854,34338,Digital Marketing Coordinator,7095900,5,2013
8854,87831,Financial Analyst,4716800,9,2007
27084,30679,IT Support Specialist,6059000,7,2015
27084,63492,Graphic Artist,2404000,7,2015
27084,14363,Network Analyst,7723400,8,2006
27084,34910,Digital Marketing Manager,876000,9,2008
27084,14547,Web Developer,9468000,3,2018
26714,62746,Physical Therapist,9781000,3,2006
26714,49186,Financial Risk Analyst,9999600,1,2012
26714,23985,Graphic Artist,6076800,8,2020
26714,42943,Investment Advisor,6644300,10,2001
11378,21063,Interior Designer,4434000,6,2016
11378,43932,Research Assistant,8549600,5,2008
13520,2449,Quality Control Inspector,862800,9,2015
11860,56146,Research Scientist,992700,10,2019
11860,50885,Accountant,8084400,3,2007
11860,62746,Data Entry Specialist,1765100,1,2009
45317,4713,Digital Marketing Manager,876000,3,2011
45317,27355,Content Writer,9634200,8,2004
45317,41181,Compliance Officer,1996500,4,2009
45317,83904,Financial Analyst,1619400,7,2019
67355,71362,Insurance Broker,1264800,1,2011
58768,61483,Systems Engineer,3098500,6,2009
58768,34187,Supply Chain Analyst,5356700,4,2011
41617,14363,Insurance Underwriter,5372700,2,2000
41617,119,IT Support Specialist,8767600,3,2020
65554,34672,Network Analyst,6619800,8,2015
65554,56867,Speech-Language Pathologist,4254600,1,2003
65554,23873,Physical Therapist,1411900,8,2018
65554,18869,Research Scientist,4371500,8,2010
99284,22617,Brand Manager,1074000,5,2001
22944,8786,Environmental Engineer,6485400,2,2018
22944,76875,Financial Risk Analyst,9999600,8,2010
22944,9361,Software Developer,4509700,10,2001
60866,62823,Public Relations Specialist,9166900,2,2017
93310,43999,Business Development Executive,7447600,4,2000
93310,5692,IT Administrator,9734400,2,2006
93310,39792,Brand Strategist,1422000,9,2001
93310,99593,SEO Specialist,9120900,1,2020
51451,6045,Technical Support Engineer,4230800,7,2007
51451,48431,Physical Therapist,9781000,10,2017
51451,22899,Legal Secretary,1679400,5,2005
84154,80507,Marketing Communications Manager,8415100,10,2020
26894,12548,Financial Clerk,7146000,8,2007
26894,2449,IT Auditor,1305100,4,2006
26894,9916,Real Estate Agent,8307000,1,2006
26894,80656,Digital Content Creator,7028200,6,2007
26894,92887,Production Supervisor,6471400,2,2002
52850,98856,Production Supervisor,9785800,1,2020
36535,80294,Recruitment Specialist,5132700,4,2015
36535,80656,Accountant,8238300,9,2019
82349,15205,Research Scientist,9418900,4,2009
82349,74593,Legal Secretary,2435900,7,2018
82349,43999,Brand Strategist,2922700,2,2019
62336,23873,Biomedical Engineer,1253400,9,2001
62336,41804,Dental Hygienist,3596300,2,2010
62336,213,Nurse Practitioner,1100000,8,2009
69052,17694,Systems Analyst,8803100,5,2008
69052,19218,Operations Manager,7620600,3,2018
69052,28057,IT Security Specialist,5813500,2,2000
97433,46441,Market Research Analyst,9044700,5,2011
2724,8321,HR Manager,715300,6,2019
2724,47708,Architect,8017000,10,2012
2724,42509,IT Project Manager,9905200,7,2018
2724,70864,Financial Analyst,6186600,6,2002
36283,83911,Financial Manager,167900,9,2013
36283,41181,Physical Therapist,7098200,10,2018
36283,46441,Event Manager,2206700,7,2011
36283,74230,Graphic Artist,5099900,3,2001
36283,94380,Logistics Manager,1861800,2,2003
54806,35142,Digital Marketing Manager,4495900,9,2008
54806,28057,IT Administrator,9734400,7,2008
54806,92887,Marketing Specialist,3762900,8,2008
54806,45130,Customer Service Representative,7174700,2,2013
77737,98753,UX Designer,6604200,2,2008
77737,5413,Medical Technologist,8132100,9,2011
33751,16706,Lawyer,5481600,1,2006
33751,23985,Investment Analyst,4237900,4,2003
33751,84040,Architect,1531100,10,2018
27965,43999,Public Relations Manager,1702400,10,2008
27965,87831,Product Marketing Manager,7848900,4,2005
27965,13567,Interior Designer,4573500,8,2002
27965,13567,IT Manager,9228400,9,2016
27965,66608,Customer Experience Manager,9647200,7,2018
14858,66608,Speech-Language Pathologist,3044600,8,2007
14858,52093,Environmental Scientist,1955200,6,2010
20611,70634,Supply Chain Analyst,5386600,4,2007
20611,93307,User Interface Designer,9946000,8,2011
20611,62746,HR Director,4663600,8,2018
20611,63492,Medical Office Manager,5292600,5,2017
20611,93307,Marketing Communications Manager,9238400,1,2005
66355,66589,Healthcare Consultant,6019900,1,2014
66355,23873,Cybersecurity Engineer,5714300,3,2010
66355,70386,Investment Advisor,5105700,3,2006
66355,80656,Public Relations Manager,7793500,9,2009
71101,19052,Data Entry Specialist,3754200,8,2010
71101,96774,Cybersecurity Engineer,3148900,3,2018
71101,56550,Operations Supervisor,3969000,6,2005
71101,92887,Environmental Scientist,2967500,4,2019
71101,70864,Legal Secretary,7089500,1,2019
28546,5216,Operations Supervisor,3969000,10,2011
28546,3758,Web Developer,4493300,3,2001
28546,14622,Business Consultant,9536200,9,2009
28546,91043,Business Development Coordinator,9109800,3,2008
28546,34863,Supply Chain Analyst,5386600,2,2007
93358,12548,Production Supervisor,6471400,6,2012
93358,30679,Civil Engineer,8529300,7,2018
93358,39197,Recruiting Coordinator,4213400,10,2005
73950,62823,Business Consultant,9536200,2,2005
49119,35155,Legal Secretary,2348100,10,2002
49119,72737,Electrical Engineer,3952700,1,2015
49119,74593,Digital Content Creator,8940200,1,2005
49119,70427,Database Administrator,986000,9,2000
49119,8786,Event Planner,5766900,1,2006
16616,43932,Product Owner,9928600,8,2001
21539,74230,Market Research Assistant,6175600,9,2001
21539,94529,Market Research Assistant,8621000,5,2012
21539,15205,Legal Analyst,9660900,5,2011
54875,59770,Network Security Engineer,6558300,6,2010
54875,12977,Quality Assurance Analyst,3721600,2,2018
54875,93307,Insurance Claims Adjuster,9018800,10,2004
54875,62823,IT Specialist,4401000,7,2008
46112,12548,Cybersecurity Engineer,4792300,2,2008
46112,88190,UI/UX Developer,3414700,5,2001
46112,22020,Public Relations Coordinator,6173400,3,2008
46112,39792,Account Coordinator,7472600,6,2019
57467,14363,Marketing Coordinator,4398100,2,2007
40995,97925,Multimedia Artist,4191200,8,2001
40995,50605,Quality Assurance Engineer,1750300,6,2004
40995,50900,Network Analyst,9713900,5,2005
15413,98302,Healthcare Administrator,3375900,9,2016
15413,93094,Lawyer,3260400,8,2019
15413,39792,Technical Writer,6728000,5,2009
13316,18869,Electrician,7296400,1,2017
13316,15205,Nurse Practitioner,1100000,6,2001
13316,59770,Dental Assistant,3950800,10,2019
13316,34863,Mechanical Engineer,8653400,5,2014
13316,70548,Graphic Designer,8072200,3,2011
45590,99593,Mechanical Engineer,7330800,7,2018
45590,5692,Technical Writer,6728000,5,2005
45590,27486,Medical Billing Specialist,6668700,6,2001
64389,34338,IT Manager,3908700,5,2011
51858,98956,Customer Success Manager,5032100,6,2019
51858,43932,Talent Acquisition Specialist,6308500,5,2009
48641,9850,Product Owner,7037300,8,2013
48641,17694,IT Consultant,6008800,5,2010
48641,97925,Pharmacist,4502500,7,2012
40657,79254,Graphic Designer,317500,2,2007
40657,19248,Technical Support Engineer,4635400,9,2016
40657,10584,Legal Assistant,5495400,3,2004
40657,70634,Customer Support Specialist,6236600,10,2016
40657,80294,Marketing Coordinator,5858900,7,2019
80824,9850,User Interface Designer,6714500,6,2018
20142,34187,Network Analyst,8264400,5,2005
20142,56867,Social Media Coordinator,8628300,8,2018
7232,96774,SEO Specialist,745700,2,2019
7232,30679,Executive Assistant,5282700,8,2010
7232,13567,Regulatory Affairs Specialist,4587500,5,2018
7232,80656,Web Developer,4493300,1,2001
7232,70634,Social Worker,7550900,8,2001
64115,79856,Legal Analyst,5125600,4,2020
64115,40315,Occupational Therapist,8852200,6,2002
70871,31001,Financial Analyst,4701000,6,2012
92934,71737,Marketing Communications Manager,1221700,7,2011
92934,23465,Interior Designer,1225200,8,2016
92934,3890,HR Recruiter,9841000,4,2003
92934,94106,Copywriter,2002100,6,2001
22117,71737,Occupational Therapist Assistant,7931700,10,2011
22117,39197,Business Analyst,955400,6,2019
22117,97028,Legal Assistant,6458100,6,2000
22117,56412,Tax Accountant,8051500,7,2012
93105,97925,Investment Analyst,4237900,9,2003
13950,10584,Retail Manager,6940200,4,2020
13950,31349,Content Writer,1841100,10,2011
47473,62823,Research Assistant,5377300,5,2017
47473,56550,Customer Service Representative,3148800,6,2010
47473,74593,Public Relations Manager,3562900,1,2011
47473,9850,Sales Manager,135600,2,2014
47473,80656,Biomedical Engineer,335800,6,2003
99602,54618,Lawyer,9096900,5,2002
99602,97295,Data Entry Specialist,3754200,8,2018
99602,9916,Systems Administrator,8353100,3,2002
99602,14622,Account Coordinator,4170500,10,2018
51978,48079,IT Security Analyst,3661100,8,2020
51978,44013,Accountant,5050400,1,2012
51978,23985,IT Project Manager,8020400,2,2005
51978,92887,Teacher,9084300,7,2000
27975,34502,Sales Manager,581600,5,2009
27975,97295,IT Security Specialist,7950900,1,2007
27975,5808,Healthcare Administrator,3375900,10,2018
27975,48407,Electrical Engineer,3952700,3,2019
31958,91276,HR Coordinator,5285800,8,2012
95751,82461,Human Resources Manager,535000,5,2014
95751,94106,Production Supervisor,7746600,7,2007
39732,55853,Interior Decorator,8588800,7,2017
39732,80656,Project Manager,3976100,7,2010
20075,98020,Financial Advisor,8083200,8,2007
20075,19218,Accountant,5050400,4,2017
20075,50605,Operations Analyst,6472900,2,2009
20075,86446,HR Generalist,327500,9,2000
16632,88136,Digital Marketing Specialist,5050200,3,2012
59725,30099,Medical Technologist,8132100,10,2013
59725,51230,Physical Therapist,1411900,5,2014
59725,45130,Financial Analyst,9306800,5,2014
40010,39087,Operations Manager,9826900,4,2006
40010,93307,Occupational Therapist,8961700,2,2002
40010,64735,Legal Researcher,6652400,6,2009
40010,70427,IT Manager,108600,7,2008
40010,98956,Software Engineer,6291000,1,2017
68096,19248,IT Administrator,5864400,10,2007
68096,10776,Brand Strategist,1422000,9,2004
68096,56949,Sales Manager,7383400,6,2013
2812,48079,Financial Auditor,5677000,2,2010
2812,40187,Customer Experience Manager,7142900,8,2015
2505,9916,Network Analyst,5263600,5,2012
2505,17694,Operations Supervisor,6086900,3,2020
82806,27355,IT Manager,9522800,2,2001
82806,48407,Systems Analyst,2623900,5,2010
46873,56867,Business Development Coordinator,8866100,5,2012
46873,12548,UX Designer,9207600,8,2018
46873,67746,Technical Support Specialist,8781100,3,2018
46873,53725,Environmental Engineer,5623800,5,2010
91729,18869,IT Analyst,6728900,4,2013
91729,66608,IT Auditor,9192400,2,2002
91729,47993,Product Owner,2002600,2,2005
91729,76875,Graphic Designer,3433700,3,2007
91729,31445,Technical Support Specialist,3309400,7,2008
64965,62823,Account Manager,6539400,10,2012
64965,48542,Market Research Assistant,4612800,3,2007
64965,39087,Dental Hygienist,3596300,8,2018
2748,83904,Brand Strategist,6379000,10,2012
2748,71737,IT Consultant,6867400,1,2017
2748,63656,Copywriter,2002100,10,2005
2748,63492,Systems Engineer,4577400,7,2011
60613,69715,Speech-Language Pathologist,5773100,8,2020
60613,8786,IT Security Analyst,3661100,6,2000
60613,49186,Accountant,6792800,5,2003
73282,28057,Medical Billing Specialist,9429500,5,2007
33323,34187,Sales Manager,135600,1,2010
33323,56412,Recruitment Specialist,3982200,1,2018
33323,52530,IT Manager,108600,2,2004
33323,18207,Financial Analyst,9873100,3,2005
78533,13567,Medical Laboratory Technician,4606400,9,2000
49306,58983,HR Recruiter,9841000,1,2012
49306,213,Legal Secretary,2435900,9,2009
49306,5061,Software Engineer,5437000,9,2005
49306,34910,Legal Analyst,8607800,3,2006
49306,80294,Data Scientist,3737600,3,2012
1602,44556,Digital Marketing Manager,4495900,7,2010
1602,3890,Operations Coordinator,896000,1,2005
1602,13227,Sales Manager,9672700,8,2012
9744,39087,Dental Assistant,718300,9,2011
9744,9361,Research Coordinator,9525500,10,2010
9744,49858,Retail Manager,495300,3,2002
9744,55853,Legal Secretary,9183100,6,2000
98680,48407,Financial Advisor,8083200,8,2019
42404,49186,Electrical Engineer,2364400,5,2008
42404,80656,User Interface Designer,6714500,3,2011
42404,70864,Architect,9789900,10,2018
61282,89657,Insurance Agent,8862200,9,2011
61282,49186,Legal Secretary,2348100,8,2009
98445,71515,Health Educator,9712500,8,2012
83165,58983,Multimedia Artist,3970700,9,2015
83165,98020,Cybersecurity Engineer,9323100,5,2018
83165,97925,Social Worker,1648500,9,2015
83165,72737,Public Relations Specialist,3813700,1,2018
83165,94529,Business Analyst,4304200,3,2006
42559,48542,Digital Content Creator,9274000,8,2000
42559,91301,Human Resources Manager,535000,7,2003
42559,31349,IT Project Manager,3429200,4,2011
42559,9916,HR Specialist,4822700,9,2007
10122,62823,Customer Experience Manager,183300,7,2012
10122,9361,Insurance Claims Adjuster,2921800,5,2019
10122,83911,Legal Analyst,3035800,5,2004
10122,43521,Quality Control Inspector,5007000,2,2018
10122,97295,Customer Experience Manager,9786200,4,2002
76300,80507,Medical Technologist,7697400,10,2020
73518,58983,Digital Marketing Manager,7302700,5,2001
12073,18207,UI/UX Developer,3414700,1,2006
19113,89086,Operations Analyst,3355700,8,2015
19113,14622,Regulatory Affairs Specialist,557200,1,2006
19113,23985,Business Development Coordinator,1251300,1,2008
19113,98753,Tax Preparer,8504800,2,2007
19113,59276,Business Development Manager,9257500,4,2001
47307,97028,Event Manager,802000,8,2006
47307,2449,Market Research Manager,1663000,5,2000
47307,21063,Registered Nurse,5435500,9,2010
47307,76334,Medical Records Clerk,9817200,5,2011
27294,80294,Graphic Artist,9719700,5,2015
27294,14363,Legal Secretary,7089500,10,2001
27294,13227,Customer Support Specialist,2170500,3,2010
69362,71698,Legal Assistant,3088200,5,2014
69362,43999,Lawyer,5481600,1,2007
97016,5808,Brand Strategist,9727800,8,2019
97016,42943,Environmental Scientist,1955200,9,2016
13986,70427,Sales Manager,7383400,5,2000
13986,55853,IT Project Manager,6643800,1,2016
13986,70427,Research Scientist,4336200,7,2013
13986,91301,Public Relations Coordinator,5698500,10,2017
13986,44556,Business Development Manager,7547100,2,2006
6189,70864,Legal Assistant,5560700,7,2018
68556,4713,Medical Billing Specialist,9429500,9,2004
68556,48079,Event Planner,7263600,5,2011
68556,43521,Retail Manager,3512900,8,2012
68556,13567,Technical Support Specialist,2442300,4,2007
19271,98956,Sales Manager,4089600,10,2006
28133,83911,Web Developer,4493300,1,2002
28133,27355,Customer Support Specialist,2170500,4,2012
28133,30099,Marketing Manager,8183400,6,2009
28133,10610,Network Administrator,2489300,3,2006
28133,81311,Recruitment Specialist,3177800,7,2001
45502,74230,Network Analyst,5263600,6,2016
2599,1539,Medical Laboratory Technician,4606400,9,2010
2599,81311,Biomedical Engineer,6108000,10,2002
2599,23465,Quality Assurance Analyst,7888600,9,2010
2599,67746,Public Relations Coordinator,600100,7,2010
35730,5834,Network Administrator,9328600,9,2008
38378,39087,Mechanical Engineer,8653400,8,2010
38378,14622,Financial Advisor,8002400,7,2010
22766,9361,Real Estate Agent,8486100,4,2001
87866,78538,Public Relations Manager,8194500,6,2016
87866,52528,Logistics Manager,9834200,6,2015
87866,30679,Business Development Executive,7447600,8,2006
87866,34338,Marketing Manager,5557800,1,2009
64384,64735,Systems Engineer,1476000,6,2014
92454,93307,Legal Secretary,2348100,8,2005
92454,5061,Digital Marketing Manager,6236400,8,2014
49630,34338,Quality Assurance Analyst,7888600,3,2003
49630,5216,Logistics Coordinator,8832400,9,2000
49630,74230,HR Recruiter,6340000,2,2001
49630,34338,Graphic Designer,3433700,4,2020
49630,91301,Teacher,4801600,8,2002
48053,5692,Sales Support Specialist,5180100,6,2015
48053,86446,Brand Strategist,1422000,8,2009
48053,9361,Architect,8017000,3,2014
48053,99593,Marketing Director,3330200,7,2009
48053,5216,Product Marketing Manager,7580900,9,2017
35020,39197,Quality Assurance Engineer,6803300,4,2019
35020,52093,Copywriter,1563600,4,2002
35020,16706,Production Supervisor,5589300,6,2010
16944,56188,Sales Support Specialist,3747100,8,2008
34691,62746,Marketing Manager,5557800,10,2013
34691,43932,Event Manager,2206700,5,2002
34691,93585,Public Accountant,1419200,7,2016
34691,91013,Legal Secretary,7365300,9,2003
65276,35142,Systems Analyst,2623900,2,2007
49807,34910,Market Research Manager,4894100,8,2000
24098,59276,Marketing Manager,1855800,4,2010
24098,47993,Human Resources Manager,535000,6,2012
19514,2449,Legal Secretary,4992400,8,2011
19514,19218,IT Security Analyst,7161500,10,2012
19514,10584,Content Manager,3812700,4,2018
13421,91043,Physical Therapy Assistant,8997800,5,2002
93240,22899,Systems Administrator,5980500,10,2005
93240,49858,Product Owner,9034800,4,2013
89032,83911,Insurance Agent,3962500,10,2007
28370,46441,Systems Analyst,2782400,1,2005
28370,98753,Logistics Manager,2817400,6,2001
86640,27355,Pharmacist,3067700,6,2015
86640,40315,Mechanical Engineer,8653400,5,2006
86640,10610,Quality Assurance Engineer,1214100,7,2000
86640,48542,Legal Analyst,3035800,7,2002
9787,66608,Physical Therapist,4193500,2,2011
4840,94529,Event Manager,8782300,9,2000
35174,46650,User Experience Researcher,564700,10,2001
35174,46976,Research Assistant,4687100,2,2019
35174,56949,Investment Banker,4380300,9,2010
69250,53725,Occupational Therapist,5248500,4,2009
69250,53619,Event Planner,248500,5,2012
44763,27355,User Interface Designer,840800,8,2006
2823,41932,Supply Chain Specialist,8696100,8,2020
2823,70400,IT Project Manager,9905200,10,2017
2823,54618,IT Specialist,4483300,9,2019
2823,79801,Sales Support Specialist,8649600,10,2005
2823,31445,Software Tester,8580900,9,2009
16372,23985,Marketing Assistant,1070600,1,2006
16372,13227,Software Engineer,6291000,8,2010
16865,40315,Accountant,5050400,2,2016
41107,97925,Sales Associate,9447700,7,2018
41107,94529,Social Worker,4734700,9,2005
41107,50885,IT Project Manager,3429200,6,2015
41107,93585,Teacher,9084300,3,2009
41107,70386,Dental Hygienist,6720900,10,2007
95213,70427,Recruiting Coordinator,8479200,3,2011
95213,87831,Business Consultant,1424300,2,2020
95213,40187,Teacher,5642400,7,2010
95213,76334,Business Analyst,9508500,6,2018
95213,81311,Quality Assurance Engineer,5083000,3,2006
94856,67746,Insurance Broker,1264800,5,2015
94856,20995,Customer Experience Manager,6227200,8,2009
159,71515,Research Assistant,4687100,3,2013
159,30679,Project Coordinator,4654400,2,2002
72424,52528,Data Entry Specialist,1765100,3,2001
72424,18207,Architect,3461000,1,2018
99891,59022,Supply Chain Analyst,7264800,1,2004
99891,35155,Human Resources Manager,9724100,8,2014
99891,89086,Business Consultant,8288100,4,2012
99891,5808,Physical Therapy Assistant,183500,9,2011
99891,89086,User Experience Researcher,8619100,8,2003
97143,4713,Market Research Manager,395900,7,2013
97143,26386,Mechanical Engineer,8876700,3,2008
97143,49186,Nurse Practitioner,6806200,4,2019
524,40315,Recruiting Coordinator,5862900,1,2000
524,45130,Lawyer,3684600,10,2008
524,41181,Supply Chain Analyst,8081100,2,2008
524,19052,Insurance Broker,306800,1,2015
524,42509,Human Resources Manager,8584200,8,2016
84607,10584,Marketing Communications Manager,1221700,6,2019
84607,34672,Insurance Agent,1991600,8,2009
