JS_ID,Organization,Degree,Specialisation,Year
75395,All India Institute of Medical Sciences (AIIMS),BE,Civil,2008
75395,Aligarh Muslim University (AMU),B.Pharm,Medicine,2011
75395,St. Stephen's College,B.A,History,2015
75395,National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1994
16811,St. Stephen's College,B.Pharm,Medicine,2008
16811,Indian School of Business (ISB),BE,Manu,2005
16811,All India Institute of Medical Sciences (AIIMS),B.Tech,Comp Sci,2007
16811,National Institute of Technology (Warangal),B.Pharm,Medicine,1992
23841,Indian Institute of Technology (Bhubaneswar),Ph.D,Mechanical,2017
23841,Indian Statistical Institute (ISI),B.Tech,Electrical,2014
23841,National Institute of Technology (NITs),Ph.D,Civil,1993
68964,Indian Institute of Management (Kolkata),Ph.D,Sociology,2000
68964,Indian Institutes of Technology (IITs),M.Tech,Mechanical,1999
60670,National Institute of Technology (NITs),B.Pharm,Medicine,1991
86430,National Law School of India University (NLSIU),B.A,English,2020
86430,National Law University (NLU),M.Tech,Mechanical,2003
86430,National Institute of Fashion Technology (NIFT),B.Tech,Civil,1999
86430,Christ University,B.A,Sociology,1995
86430,Indian Institutes of Technology (IITs),B.Tech,Comp Sci,1990
65415,Indian Statistical Institute (ISI),B.A,English,2018
65415,Lady Shri Ram College for Women (LSR),M.Tech,Comp Sci,2022
55654,St. Stephen's College,B.A,Sociology,1989
55654,Indian Institute of Technology (Banaras Hindu University),BE,Mechanical,2000
55654,Indian Institute of Technology (Bhubaneswar),M.Tech,Comp Sci,2002
55654,Lady Shri Ram College for Women (LSR),B.A,History,1992
55654,Indian Institutes of Technology (IITs),B.Pharm,Medicine,2012
49863,Birla Institute of Technology and Science (BITS Pilani),M.Tech,Manu,1992
49863,Indian Institute of Technology (Banaras Hindu University),Ph.D,Civil,2008
49863,National Institute of Technology (Warangal),B.Pharm,Medicine,1997
75130,Indian Institute of Technology (Bombay),B.Pharm,Medicine,2015
75130,Indian Institute of Technology (Kanpur),B.A,Sociology,2016
75130,Indian Institute of Science (IISc),Ph.D,Manu,2006
75130,Symbiosis International University,Ph.D,History,2005
79161,Xavier Labour Relations Institute (XLRI),B.Tech,Manu,2016
79161,Loyola College,M.Tech,Comp Sci,1994
79161,National Institute of Technology (Calicut),M.Tech,Civil,1992
79161,Indian Institutes of Technology (IITs),B.Pharm,Medicine,1984
92356,Indian Statistical Institute (ISI),M.Tech,Civil,2015
92356,Tata Institute of Social Sciences (TISS),BE,Comp Sci,1999
92356,Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,1982
92356,Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,1995
92356,Miranda House,M.Tech,Manu,2017
94332,Loyola College,M.Tech,Mechanical,2009
94332,Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,1985
3541,National Law School of India University (NLSIU),B.Pharm,Medicine,2011
3541,Indian Institute of Foreign Trade (IIFT),Ph.D,Comp Sci,1985
95952,Indian Institute of Technology (Madras),B.A,History,2012
95952,National Institute of Fashion Technology (NIFT),B.Tech,Mechanical,1995
94052,Indian Institutes of Management (IIMs),B.A,Sociology,2014
94052,Indian Institutes of Technology (IITs),M.Tech,Mechanical,1991
94052,National Institute of Technology (NITs),Ph.D,History,2010
94052,National Institute of Technology (Jaipur),BE,Civil,1989
93002,Delhi Technological University (DTU),B.A,English,1985
93002,Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2002
93002,Indian Institute of Technology (Madras),M.Tech,Comp Sci,1988
93002,Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,1993
93002,Symbiosis International University,B.Pharm,Medicine,2018
27876,National Law School of India University (NLSIU),Ph.D,Civil,2003
29783,Symbiosis International University,B.Tech,Manu,1992
29783,Hansraj College,B.Pharm,Medicine,1982
29783,Indian Institute of Science (IISc),M.Tech,Civil,1984
29783,Indian Institute of Technology (Bombay),B.A,History,2013
74374,Indian Institute of Technology (Bhubaneswar),Ph.D,Sociology,1985
34853,Miranda House,M.Tech,Electrical,1988
34853,Indian Institute of Technology (Delhi),M.Tech,Electrical,2019
34853,Indian Institute of Technology (Madras),Ph.D,Electrical,1981
34853,Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2008
34853,Indian Institute of Management (Ahmedabad),M.Tech,Civil,2010
20317,Loyola College,B.Tech,Electrical,2010
20317,Indian Institute of Technology (Bombay),Ph.D,Medicine,2016
79097,Indian Institute of Technology (Delhi),M.Tech,Electrical,1988
79097,Symbiosis International University,B.Pharm,Medicine,2012
79097,Indian Institute of Technology (Bombay),Ph.D,Mechanical,2016
79097,National Law University (NLU),B.Tech,Electrical,2011
79097,Indian Institute of Technology (Delhi),M.Tech,Electrical,2008
61667,National Institute of Technology (Warangal),B.A,History,1995
61667,National Institute of Fashion Technology (NIFT),B.Tech,Electrical,2013
61667,Indian Statistical Institute (ISI),B.Pharm,Medicine,1998
61667,National Institute of Technology (Warangal),BE,Civil,2017
61667,Delhi Technological University (DTU),B.A,Sociology,2021
85284,Lady Shri Ram College for Women (LSR),BE,Manu,2020
60945,All India Institute of Medical Sciences (AIIMS),B.Tech,Comp Sci,1999
60945,Indian Institute of Technology (Roorkee),B.Tech,Comp Sci,2010
42890,Indian Institute of Technology (Bombay),M.Tech,Mechanical,1991
42890,National Institute of Technology (Warangal),B.A,Sociology,1998
67336,Indian Institute of Technology (Roorkee),Ph.D,Psychology,2011
67339,Indian School of Business (ISB),B.Tech,Comp Sci,2012
67339,All India Institute of Medical Sciences (AIIMS),Ph.D,English,1987
67339,National Law University (NLU),Ph.D,Civil,1986
67339,Indian Institute of Science (IISc),B.A,Sociology,2005
67339,Indian Institute of Management (Indore),B.Pharm,Medicine,2003
96798,Indian Institute of Foreign Trade (IIFT),Ph.D,History,1984
78590,Indian Institute of Technology (Banaras Hindu University),M.Tech,Comp Sci,1982
78590,National Institute of Technology (Trichy),B.A,History,1993
78590,Indian Institute of Technology (Kanpur),Ph.D,Comp Sci,2004
78590,National Institute of Technology (Jaipur),Ph.D,Manu,1999
34751,Indian Institute of Science (IISc),Ph.D,Comp Sci,1989
34751,National Institute of Technology (Calicut),BE,Comp Sci,1995
34751,National Institute of Technology (Jaipur),Ph.D,Civil,2014
34751,National Institute of Technology (Trichy),M.Tech,Electrical,1997
34751,Indian Institute of Science Education and Research (IISER),B.A,English,1987
7976,Banaras Hindu University (BHU),BE,Civil,2015
7976,Indian Institute of Science Education and Research (IISER),Ph.D,Psychology,2007
7976,Indian Institute of Science (IISc),BE,Civil,1984
7976,Hansraj College,B.Pharm,Medicine,2001
23497,Indian Institute of Technology (Guwahati),B.Tech,Civil,1998
23497,Indian Institute of Management (Lucknow),B.Pharm,Medicine,1985
23497,Indian Institute of Technology (Delhi),BE,Comp Sci,2005
38853,National Institute of Technology (Surathkal),Ph.D,History,1983
38853,Indian Institute of Management (Kozhikode),B.Tech,Comp Sci,1990
38853,Loyola College,Ph.D,Manu,1995
38853,Indian Institute of Technology (Delhi),BE,Comp Sci,1987
38853,National Institute of Technology (Calicut),BE,Manu,2022
90520,Symbiosis International University,B.Tech,Mechanical,2003
90520,National Institute of Technology (Jaipur),M.Tech,Manu,1982
24887,Indian Institute of Technology (Bhubaneswar),BE,Civil,1987
56561,National Law School of India University (NLSIU),B.A,Psychology,2010
56561,Indian Institute of Management (Kolkata),B.Pharm,Medicine,1982
98697,Indian Institute of Technology (Roorkee),M.Tech,Comp Sci,1995
98697,Hansraj College,B.Pharm,Medicine,1999
98697,Indian Statistical Institute (ISI),M.Tech,Mechanical,1997
98697,Delhi Technological University (DTU),B.Pharm,Medicine,2005
61728,All India Institute of Medical Sciences (AIIMS),B.A,Sociology,2012
61728,Indian School of Business (ISB),BE,Manu,2016
61728,Presidency University,Ph.D,Comp Sci,2011
61728,Loyola College,B.Pharm,Medicine,1982
61728,National Institute of Technology (Calicut),B.Pharm,Medicine,1991
30782,Indian Institute of Technology (Roorkee),B.A,Psychology,2004
30782,Hansraj College,M.Tech,Manu,2007
30782,Indian Statistical Institute (ISI),B.A,English,2008
30782,National Institute of Technology (Jaipur),B.Tech,Comp Sci,2018
28461,Lady Shri Ram College for Women (LSR),M.Tech,Civil,2008
28461,Tata Institute of Social Sciences (TISS),BE,Comp Sci,1996
28461,Indian Statistical Institute (ISI),B.Tech,Civil,2015
58239,Indian Institute of Management (Indore),BE,Civil,2021
58239,National Institute of Technology (Jaipur),Ph.D,Psychology,2015
58239,Miranda House,B.Tech,Mechanical,1985
68066,Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2014
68066,Presidency University,BE,Electrical,1994
68066,Indian Institute of Technology (Kanpur),Ph.D,History,1985
97355,National Institute of Fashion Technology (NIFT),B.A,English,2004
97355,Indian Institutes of Management (IIMs),Ph.D,History,1999
97355,Loyola College,Ph.D,English,1994
97355,National Institute of Technology (Jaipur),B.Tech,Civil,1997
67642,Hansraj College,B.A,Psychology,2012
67642,Loyola College,B.A,Psychology,2010
67642,National Institute of Technology (Calicut),B.A,History,2011
67642,Indian Institute of Technology (Banaras Hindu University),Ph.D,Sociology,1984
10678,Indian Institute of Technology (Delhi),B.Tech,Civil,2014
10678,National Law School of India University (NLSIU),Ph.D,Comp Sci,2011
10678,Xavier Labour Relations Institute (XLRI),M.Tech,Comp Sci,2008
10678,All India Institute of Medical Sciences (AIIMS),BE,Mechanical,1986
10678,Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2007
14623,Indian Institute of Technology (Kanpur),M.Tech,Electrical,1981
18892,Miranda House,M.Tech,Mechanical,2006
67962,National Law School of India University (NLSIU),B.Tech,Manu,2004
67962,Indian Institute of Management (Indore),Ph.D,Mechanical,1981
67962,Banaras Hindu University (BHU),Ph.D,Electrical,2020
54847,National Law University (NLU),B.Pharm,Medicine,2005
54847,Symbiosis International University,BE,Manu,2015
66676,Indian Statistical Institute (ISI),B.Tech,Comp Sci,1991
66676,Christ University,B.Tech,Electrical,1980
66676,National Institute of Design (NID),B.Tech,Manu,2014
15602,Xavier Labour Relations Institute (XLRI),BE,Mechanical,2017
15602,Indian Institute of Management (Ahmedabad),BE,Manu,1998
85074,Indian Institute of Science Education and Research (IISER),B.A,English,2001
85074,National Law School of India University (NLSIU),Ph.D,Psychology,1988
85074,Loyola College,B.A,Psychology,1992
85074,Indian Institute of Science (IISc),M.Tech,Comp Sci,2010
85074,Birla Institute of Technology and Science (BITS Pilani),B.A,Psychology,2012
27375,Tata Institute of Social Sciences (TISS),M.Tech,Mechanical,1986
27375,Indian Institute of Technology (Roorkee),B.A,Sociology,2001
27375,Jawaharlal Nehru University (JNU),B.Tech,Mechanical,2003
27375,Hansraj College,M.Tech,Manu,2013
27375,Lady Shri Ram College for Women (LSR),BE,Manu,1997
8854,Banaras Hindu University (BHU),B.Tech,Mechanical,1989
27084,National Institute of Technology (Jaipur),Ph.D,Sociology,2008
27084,National Institute of Technology (Calicut),B.Pharm,Medicine,2021
27084,Indian Institute of Management (Lucknow),Ph.D,Civil,1996
11378,Loyola College,B.Pharm,Medicine,1993
11378,Indian Institute of Technology (Bhubaneswar),M.Tech,Civil,2011
13520,Indian Institute of Technology (Banaras Hindu University),Ph.D,Comp Sci,2013
13520,Indian Institute of Technology (Roorkee),B.Tech,Civil,2006
13520,Indian Institute of Management (Kozhikode),Ph.D,Sociology,1980
13520,Indian Institute of Management (Kozhikode),B.Tech,Manu,1987
13520,Indian Institute of Management (Kolkata),B.A,English,2016
42802,Loyola College,Ph.D,Psychology,2022
42802,Indian Institute of Technology (Banaras Hindu University),Ph.D,Medicine,2018
42802,St. Stephen's College,Ph.D,Civil,2008
42802,Indian Institutes of Technology (IITs),B.A,English,2003
11860,National Institute of Fashion Technology (NIFT),Ph.D,Psychology,1998
11860,Loyola College,Ph.D,English,1990
45317,Indian Institute of Technology (Madras),B.Pharm,Medicine,2014
45317,Lady Shri Ram College for Women (LSR),B.Tech,Comp Sci,2017
45317,Indian Institute of Technology (Banaras Hindu University),B.A,English,1983
45317,National Institute of Technology (Surathkal),B.Pharm,Medicine,2000
9445,Indian Institute of Technology (Banaras Hindu University),M.Tech,Civil,2010
40304,Indian Institute of Technology (Banaras Hindu University),B.Tech,Electrical,2007
67355,Indian Institute of Science (IISc),Ph.D,Sociology,2015
58768,Indian Institutes of Management (IIMs),BE,Manu,2020
41617,Manipal Academy of Higher Education,BE,Manu,1999
41617,National Institute of Design (NID),B.Tech,Manu,1980
41617,Indian Institute of Management (Indore),B.Tech,Manu,2014
41617,Indian Institute of Science Education and Research (IISER),B.Tech,Mechanical,2019
65554,Manipal Academy of Higher Education,BE,Civil,1992
65554,Birla Institute of Technology and Science (BITS Pilani),M.Tech,Comp Sci,2004
65554,Manipal Academy of Higher Education,Ph.D,Electrical,2013
65554,National Institute of Technology (Calicut),B.Tech,Comp Sci,1983
99284,National Institute of Technology (Warangal),B.Pharm,Medicine,1990
22944,Indian Institute of Technology (Roorkee),BE,Electrical,2013
22944,Hansraj College,B.A,English,1988
22944,Presidency University,B.Tech,Comp Sci,2017
22944,Loyola College,Ph.D,Medicine,2006
22944,Manipal Academy of Higher Education,Ph.D,Electrical,2002
60866,Indian Institute of Foreign Trade (IIFT),B.A,Psychology,2017
60866,Indian Institute of Technology (Madras),M.Tech,Civil,1986
60866,Indian Institute of Technology (Bombay),BE,Mechanical,1983
60866,National Law University (NLU),BE,Manu,1980
60866,Indian Statistical Institute (ISI),B.A,Psychology,1996
93310,Indian Institutes of Technology (IITs),Ph.D,Electrical,2005
93310,Hansraj College,M.Tech,Mechanical,2003
93310,Indian Institute of Science Education and Research (IISER),BE,Comp Sci,2006
93310,Indian Institute of Technology (Guwahati),B.A,History,1995
84154,Christ University,Ph.D,History,2020
84154,Indian Institute of Technology (Kanpur),B.Pharm,Medicine,1992
84154,National Institute of Fashion Technology (NIFT),M.Tech,Civil,2008
52850,Indian Institute of Management (Kozhikode),Ph.D,Medicine,2000
52850,Indian Institute of Technology (Banaras Hindu University),B.A,Sociology,2018
52850,All India Institute of Medical Sciences (AIIMS),B.A,English,1980
52850,National Institute of Technology (Trichy),M.Tech,Manu,1988
52850,Indian Institute of Technology (Madras),Ph.D,Comp Sci,2003
36535,Manipal Academy of Higher Education,B.Tech,Manu,2014
36535,Christ University,M.Tech,Electrical,2012
36535,National Institute of Technology (Warangal),B.A,History,1987
62336,National Institute of Fashion Technology (NIFT),BE,Manu,2006
62336,Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2005
69052,Manipal Academy of Higher Education,B.A,Psychology,1983
69052,National Institute of Technology (Warangal),B.A,Sociology,2021
69052,Indian School of Business (ISB),BE,Electrical,2008
69052,Indian Institute of Technology (Guwahati),M.Tech,Electrical,1989
90891,Tata Institute of Social Sciences (TISS),B.A,English,1999
90891,Indian Institutes of Technology (IITs),B.A,English,2012
90891,Indian Institute of Technology (Bombay),M.Tech,Mechanical,1996
97433,Hansraj College,B.Pharm,Medicine,1980
97433,Banaras Hindu University (BHU),BE,Mechanical,2018
97433,Xavier Labour Relations Institute (XLRI),B.A,History,2008
97433,Indian Statistical Institute (ISI),M.Tech,Comp Sci,2019
2724,Indian Institute of Science Education and Research (IISER),Ph.D,Medicine,2001
2724,Indian Institute of Management (Indore),B.Tech,Electrical,2002
2724,Indian Institutes of Technology (IITs),Ph.D,Manu,2014
36283,National Institute of Technology (Jaipur),Ph.D,Electrical,1998
54806,Indian Institute of Management (Indore),B.A,English,2016
54806,National Institute of Technology (Warangal),B.Pharm,Medicine,1997
54806,Indian Institute of Foreign Trade (IIFT),BE,Civil,2007
54806,National Institute of Fashion Technology (NIFT),BE,Comp Sci,1989
54806,Tata Institute of Social Sciences (TISS),B.A,History,1995
77737,Indian Institute of Foreign Trade (IIFT),B.A,English,1990
77737,Indian Institute of Technology (Bombay),B.Tech,Manu,2016
77737,Indian Institute of Science (IISc),B.Tech,Electrical,2021
77737,National Institute of Technology (NITs),Ph.D,Mechanical,2011
33751,Indian Institute of Technology (Madras),M.Tech,Comp Sci,1991
33751,Indian Institute of Technology (Bhubaneswar),B.A,History,1983
33751,Indian Institute of Science Education and Research (IISER),B.Tech,Mechanical,1992
33751,Presidency University,B.Pharm,Medicine,1994
27965,Lady Shri Ram College for Women (LSR),BE,Mechanical,2017
27965,Indian Institute of Management (Indore),B.A,History,2014
14858,Loyola College,Ph.D,Manu,1996
14858,St. Stephen's College,B.A,Sociology,1982
14858,National Institute of Technology (Trichy),B.Pharm,Medicine,2009
20611,Delhi Technological University (DTU),BE,Comp Sci,1983
20611,Indian Institute of Technology (Delhi),B.A,History,1981
20611,National Institute of Technology (Warangal),M.Tech,Manu,1998
20611,National Institute of Fashion Technology (NIFT),M.Tech,Mechanical,1980
20611,Indian Institute of Foreign Trade (IIFT),M.Tech,Manu,2009
66355,Indian Institute of Technology (Bhubaneswar),B.Tech,Manu,2009
71101,Indian School of Business (ISB),Ph.D,Sociology,1995
71101,Loyola College,B.A,Sociology,2005
71101,Hansraj College,BE,Comp Sci,1988
71101,Banaras Hindu University (BHU),BE,Manu,1982
28546,Indian Institute of Management (Lucknow),B.A,Sociology,1992
28546,National Institute of Technology (NITs),B.Tech,Comp Sci,2016
28546,National Law School of India University (NLSIU),B.A,Sociology,1999
28546,Indian Institute of Management (Lucknow),B.Pharm,Medicine,2019
28546,Xavier Labour Relations Institute (XLRI),M.Tech,Comp Sci,2007
75431,Birla Institute of Technology and Science (BITS Pilani),BE,Mechanical,1982
75431,Indian Institute of Technology (Bhubaneswar),B.A,Psychology,2008
87646,National Law University (NLU),M.Tech,Comp Sci,1989
73950,National Institute of Technology (Warangal),B.Tech,Comp Sci,1994
73950,Christ University,M.Tech,Comp Sci,1980
73950,Indian Institutes of Technology (IITs),Ph.D,Sociology,1997
73950,Tata Institute of Social Sciences (TISS),M.Tech,Comp Sci,1981
73950,Indian Institute of Technology (Kanpur),Ph.D,Medicine,2006
49119,Indian Institute of Management (Indore),B.A,English,1989
49119,Indian Institute of Technology (Banaras Hindu University),Ph.D,Electrical,1993
16616,Hansraj College,Ph.D,Electrical,2007
16616,National Institute of Technology (Warangal),M.Tech,Mechanical,1985
16616,Indian Institute of Technology (Kanpur),B.A,English,1993
21539,National Institute of Technology (NITs),B.Tech,Civil,1999
21539,Lady Shri Ram College for Women (LSR),BE,Manu,1983
21539,Manipal Academy of Higher Education,M.Tech,Mechanical,2003
21539,Indian Institute of Management (Indore),B.A,Sociology,2010
21539,Indian Institute of Technology (Guwahati),B.A,Sociology,1981
54875,Indian School of Business (ISB),Ph.D,Psychology,1997
54875,Hansraj College,B.Tech,Mechanical,2021
24921,National Institute of Design (NID),B.Tech,Mechanical,1991
60401,Indian Institutes of Management (IIMs),B.Tech,Mechanical,1980
81208,All India Institute of Medical Sciences (AIIMS),M.Tech,Civil,2020
81208,Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2008
81208,Indian Institute of Management (Indore),M.Tech,Electrical,1982
81208,Banaras Hindu University (BHU),M.Tech,Civil,2003
57467,Indian Institutes of Management (IIMs),B.Tech,Mechanical,2006
57467,Indian Institute of Foreign Trade (IIFT),B.Tech,Electrical,1994
57467,Indian Institute of Science (IISc),BE,Mechanical,1993
57467,Banaras Hindu University (BHU),Ph.D,Manu,1996
57467,Indian School of Business (ISB),B.Pharm,Medicine,1985
40995,National Institute of Technology (Jaipur),BE,Electrical,2010
40995,Aligarh Muslim University (AMU),B.A,History,2015
40995,National Institute of Design (NID),M.Tech,Civil,2019
40995,Loyola College,M.Tech,Manu,1996
15413,National Institute of Technology (Calicut),B.Tech,Comp Sci,1987
15413,Indian Institute of Foreign Trade (IIFT),B.Tech,Civil,1986
15413,Indian Institute of Technology (Bhubaneswar),M.Tech,Electrical,2012
15413,Loyola College,Ph.D,Comp Sci,2019
15413,Miranda House,Ph.D,Sociology,1998
13316,Delhi Technological University (DTU),B.Tech,Manu,2020
45590,Tata Institute of Social Sciences (TISS),BE,Mechanical,1987
45590,Indian Institute of Foreign Trade (IIFT),B.Tech,Electrical,2022
45590,Indian Statistical Institute (ISI),Ph.D,Electrical,2009
45590,St. Stephen's College,B.Pharm,Medicine,1996
45590,Loyola College,M.Tech,Comp Sci,1995
64389,National Institute of Technology (Warangal),BE,Civil,1980
64389,Banaras Hindu University (BHU),M.Tech,Electrical,2012
64389,National Institute of Fashion Technology (NIFT),B.Tech,Mechanical,1983
64389,All India Institute of Medical Sciences (AIIMS),B.Tech,Manu,1996
51858,National Institute of Technology (NITs),Ph.D,Comp Sci,2003
51858,Indian Institute of Technology (Roorkee),BE,Manu,1992
28664,Indian Institutes of Technology (IITs),Ph.D,Psychology,1997
28664,Indian Institute of Foreign Trade (IIFT),B.Tech,Mechanical,1992
28664,Indian Institute of Science (IISc),B.A,English,2016
28664,National Institute of Technology (Warangal),B.Pharm,Medicine,1998
28664,Indian Institute of Technology (Guwahati),M.Tech,Electrical,1999
40657,Indian Institute of Technology (Delhi),B.Pharm,Medicine,1995
40657,Indian Institute of Technology (Madras),M.Tech,Mechanical,1987
80824,Lady Shri Ram College for Women (LSR),B.A,English,2022
80824,Indian Institute of Technology (Delhi),B.Tech,Electrical,2002
80824,Loyola College,B.Tech,Manu,2016
53491,Manipal Academy of Higher Education,BE,Civil,2003
53491,Lady Shri Ram College for Women (LSR),Ph.D,Psychology,2009
53491,Hansraj College,M.Tech,Manu,1999
53491,All India Institute of Medical Sciences (AIIMS),Ph.D,Sociology,2005
7232,Tata Institute of Social Sciences (TISS),Ph.D,Manu,2006
7232,Loyola College,Ph.D,Psychology,2009
7232,Hansraj College,B.Tech,Civil,1994
7232,Xavier Labour Relations Institute (XLRI),M.Tech,Mechanical,2012
64115,Hansraj College,B.A,History,2000
64115,National Institute of Technology (Trichy),Ph.D,Psychology,2019
64115,Xavier Labour Relations Institute (XLRI),B.Tech,Manu,2022
27095,Indian Institute of Science (IISc),B.Pharm,Medicine,2019
27095,Indian Institute of Foreign Trade (IIFT),M.Tech,Electrical,2013
27095,Indian Institute of Management (Indore),B.Pharm,Medicine,2022
81255,Christ University,Ph.D,Electrical,2017
81255,Indian Institutes of Technology (IITs),B.A,English,2003
81255,Indian Institute of Technology (Bhubaneswar),Ph.D,Medicine,1996
92934,Delhi Technological University (DTU),M.Tech,Mechanical,2006
92934,National Institute of Fashion Technology (NIFT),B.Tech,Manu,1980
92934,Banaras Hindu University (BHU),B.Tech,Civil,2020
92934,Indian Institute of Foreign Trade (IIFT),Ph.D,History,2007
22117,Manipal Academy of Higher Education,B.A,Sociology,1997
22117,Indian Institutes of Management (IIMs),B.Tech,Manu,2016
22117,Indian Institute of Management (Ahmedabad),B.A,History,2014
22117,National Institute of Design (NID),Ph.D,Mechanical,1982
22117,Lady Shri Ram College for Women (LSR),B.Tech,Comp Sci,2009
93105,Aligarh Muslim University (AMU),BE,Comp Sci,2002
93105,Indian Institute of Science Education and Research (IISER),Ph.D,History,2022
51978,Loyola College,M.Tech,Civil,2003
93228,Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2011
93228,Tata Institute of Social Sciences (TISS),M.Tech,Mechanical,2017
67393,National Law University (NLU),BE,Mechanical,2012
67393,Miranda House,BE,Electrical,2008
67393,Miranda House,Ph.D,Sociology,1980
67393,Loyola College,B.A,Psychology,2000
31958,National Institute of Technology (NITs),B.Pharm,Medicine,1995
95751,Indian Institute of Science (IISc),BE,Comp Sci,2017
95751,Symbiosis International University,B.A,History,2020
95751,Symbiosis International University,B.Tech,Electrical,1991
95751,Birla Institute of Technology and Science (BITS Pilani),B.A,Psychology,2013
95299,Indian Institute of Science Education and Research (IISER),B.Tech,Mechanical,1991
95299,Indian Institute of Science Education and Research (IISER),B.A,Sociology,2002
95299,Indian Institute of Management (Kozhikode),B.Tech,Civil,1996
39732,Indian School of Business (ISB),Ph.D,English,1997
39732,Indian Statistical Institute (ISI),B.Tech,Electrical,2007
39732,National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2014
39732,Loyola College,BE,Civil,1981
39732,Indian School of Business (ISB),B.Tech,Comp Sci,1984
20075,Indian Institute of Foreign Trade (IIFT),M.Tech,Electrical,1987
20075,Indian Institute of Management (Kolkata),BE,Electrical,2018
20075,National Institute of Technology (Calicut),B.A,Sociology,2019
20075,Indian Institute of Technology (Bhubaneswar),M.Tech,Comp Sci,2013
16632,National Institute of Design (NID),B.Pharm,Medicine,1998
16632,Indian Institute of Foreign Trade (IIFT),Ph.D,Mechanical,2005
59725,National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1981
40010,Indian Institute of Foreign Trade (IIFT),B.A,English,2002
68096,Indian Institute of Technology (Banaras Hindu University),B.Tech,Comp Sci,2003
68096,Indian Institute of Technology (Madras),B.Tech,Electrical,2017
68096,Aligarh Muslim University (AMU),M.Tech,Mechanical,2009
2812,Xavier Labour Relations Institute (XLRI),B.Tech,Civil,2016
2505,National Institute of Technology (Surathkal),Ph.D,Manu,1989
82806,Indian Institute of Technology (Bhubaneswar),Ph.D,Psychology,1997
82806,Indian Institute of Management (Kolkata),BE,Civil,2012
82806,Aligarh Muslim University (AMU),B.Pharm,Medicine,1989
91729,National Institute of Technology (Calicut),B.Pharm,Medicine,1997
91729,Banaras Hindu University (BHU),B.A,History,2016
91729,National Institute of Technology (Warangal),BE,Mechanical,2000
91729,Tata Institute of Social Sciences (TISS),Ph.D,Manu,2007
91729,Indian Institute of Management (Indore),B.A,Psychology,2014
64965,Indian Institute of Management (Indore),M.Tech,Manu,1980
64965,Banaras Hindu University (BHU),M.Tech,Mechanical,1982
2748,Indian Institutes of Technology (IITs),B.A,History,1996
2748,Christ University,B.A,History,1984
2748,National Institute of Technology (Warangal),B.A,Psychology,2018
60613,National Law University (NLU),M.Tech,Mechanical,2021
