JS_ID,Year,Proficiency,Domain
29477,1985,Marketing,Business
29477,1998,Project Management,Business
88793,1990,Digital Marketing,Business
88793,1990,Programming,Computer Science
88793,2020,Data Analysis,Statistics
88793,2020,Problem Solving,Mathematics
88793,2020,Marketing,Business
88793,2020,Public Speaking,Communication
88793,2008,Graphic Design,Design
88793,2008,Programming,Computer Science
75395,1998,Data Analysis,Statistics
75395,1998,Problem Solving,Mathematics
75395,1998,Graphic Design,Design
75395,1998,Public Speaking,Communication
75395,2008,Graphic Design,Design
75395,2008,Creative Writing,Literature
75395,2008,Project Management,Business
75395,2008,Digital Marketing,Business
75395,2008,Public Speaking,Communication
75395,2011,Project Management,Business
75395,2011,Web Development,Computer Science
75395,2015,Marketing,Business
75395,2015,Project Management,Business
75395,1994,Graphic Design,Design
75395,1994,Digital Marketing,Business
75395,1994,Marketing,Business
16811,2008,Digital Marketing,Business
16811,2008,Marketing,Business
16811,2008,Public Speaking,Communication
16811,2008,Creative Writing,Literature
16811,2005,Graphic Design,Design
16811,2005,Data Analysis,Statistics
16811,2005,Creative Writing,Literature
16811,2005,Web Development,Computer Science
16811,2005,Public Speaking,Communication
16811,2007,Problem Solving,Mathematics
16811,1992,Problem Solving,Mathematics
16811,1992,Graphic Design,Design
16811,1992,Public Speaking,Communication
16811,1992,Web Development,Computer Science
23841,2017,Problem Solving,Mathematics
23841,2014,Public Speaking,Communication
23841,2014,Creative Writing,Literature
23841,1993,Programming,Computer Science
68964,2000,Digital Marketing,Business
68964,2000,Public Speaking,Communication
68964,1999,Problem Solving,Mathematics
68964,1999,Public Speaking,Communication
68964,1999,Programming,Computer Science
68964,1999,Web Development,Computer Science
60670,1991,Public Speaking,Communication
60670,1991,Creative Writing,Literature
86430,2020,Data Analysis,Statistics
86430,2020,Graphic Design,Design
86430,2020,Project Management,Business
86430,2020,Creative Writing,Literature
86430,2003,Digital Marketing,Business
86430,2003,Graphic Design,Design
86430,2003,Public Speaking,Communication
86430,1999,Graphic Design,Design
86430,1995,Problem Solving,Mathematics
86430,1995,Graphic Design,Design
86430,1995,Project Management,Business
86430,1995,Creative Writing,Literature
86430,1990,Problem Solving,Mathematics
86430,1990,Digital Marketing,Business
86430,1990,Public Speaking,Communication
65415,2018,Project Management,Business
65415,2022,Graphic Design,Design
55654,1989,Data Analysis,Statistics
55654,2000,Problem Solving,Mathematics
55654,2000,Marketing,Business
55654,2000,Project Management,Business
55654,2000,Public Speaking,Communication
55654,2002,Digital Marketing,Business
55654,1992,Public Speaking,Communication
55654,1992,Web Development,Computer Science
55654,2012,Web Development,Computer Science
49863,1992,Problem Solving,Mathematics
49863,1992,Graphic Design,Design
49863,2008,Data Analysis,Statistics
49863,2008,Graphic Design,Design
49863,2008,Digital Marketing,Business
49863,1997,Data Analysis,Statistics
49863,1997,Public Speaking,Communication
49863,1997,Web Development,Computer Science
75130,2015,Problem Solving,Mathematics
75130,2016,Marketing,Business
75130,2006,Data Analysis,Statistics
75130,2006,Digital Marketing,Business
75130,2006,Marketing,Business
75130,2005,Digital Marketing,Business
75130,2005,Marketing,Business
75130,2005,Project Management,Business
75130,2005,Creative Writing,Literature
79161,2016,Project Management,Business
79161,2016,Programming,Computer Science
79161,1994,Graphic Design,Design
79161,1992,Data Analysis,Statistics
79161,1984,Project Management,Business
79161,1984,Public Speaking,Communication
92356,2015,Graphic Design,Design
92356,2015,Marketing,Business
92356,2015,Digital Marketing,Business
92356,2015,Public Speaking,Communication
92356,2015,Programming,Computer Science
92356,1999,Data Analysis,Statistics
92356,1999,Marketing,Business
92356,1982,Data Analysis,Statistics
92356,1982,Digital Marketing,Business
92356,1982,Project Management,Business
92356,1995,Digital Marketing,Business
92356,1995,Marketing,Business
92356,1995,Creative Writing,Literature
92356,1995,Programming,Computer Science
92356,2017,Web Development,Computer Science
94332,2009,Project Management,Business
94332,2009,Public Speaking,Communication
94332,2009,Web Development,Computer Science
94332,1985,Graphic Design,Design
94332,1985,Project Management,Business
3541,2011,Problem Solving,Mathematics
3541,2011,Digital Marketing,Business
3541,2011,Public Speaking,Communication
3541,1985,Data Analysis,Statistics
3541,1985,Graphic Design,Design
3541,1985,Project Management,Business
3541,1985,Programming,Computer Science
95952,2012,Digital Marketing,Business
95952,2012,Web Development,Computer Science
95952,1995,Graphic Design,Design
95952,1995,Public Speaking,Communication
95952,1995,Programming,Computer Science
94052,2014,Creative Writing,Literature
94052,2014,Programming,Computer Science
94052,1991,Web Development,Computer Science
94052,2010,Data Analysis,Statistics
94052,1989,Graphic Design,Design
94052,1989,Digital Marketing,Business
94052,1989,Public Speaking,Communication
94052,1989,Web Development,Computer Science
93002,1985,Graphic Design,Design
93002,1985,Creative Writing,Literature
93002,1985,Web Development,Computer Science
93002,2002,Data Analysis,Statistics
93002,1988,Digital Marketing,Business
93002,1988,Creative Writing,Literature
93002,1988,Web Development,Computer Science
93002,1993,Programming,Computer Science
93002,2018,Marketing,Business
27876,2003,Problem Solving,Mathematics
27876,2003,Digital Marketing,Business
27876,2003,Creative Writing,Literature
27876,2003,Web Development,Computer Science
29783,1992,Problem Solving,Mathematics
29783,1992,Programming,Computer Science
29783,1992,Creative Writing,Literature
29783,1992,Web Development,Computer Science
29783,1982,Marketing,Business
29783,1982,Creative Writing,Literature
29783,1984,Data Analysis,Statistics
29783,1984,Problem Solving,Mathematics
29783,1984,Public Speaking,Communication
29783,1984,Web Development,Computer Science
29783,2013,Digital Marketing,Business
29783,2013,Marketing,Business
29783,2013,Programming,Computer Science
74374,1985,Data Analysis,Statistics
74374,1985,Digital Marketing,Business
74374,1985,Creative Writing,Literature
34853,1988,Digital Marketing,Business
34853,2019,Data Analysis,Statistics
34853,2019,Graphic Design,Design
34853,2019,Creative Writing,Literature
34853,2019,Web Development,Computer Science
34853,1981,Data Analysis,Statistics
34853,1981,Marketing,Business
34853,1981,Programming,Computer Science
34853,2008,Project Management,Business
34853,2010,Problem Solving,Mathematics
34853,2010,Marketing,Business
34853,2010,Creative Writing,Literature
20317,2010,Problem Solving,Mathematics
20317,2010,Digital Marketing,Business
20317,2010,Project Management,Business
20317,2010,Public Speaking,Communication
20317,2016,Graphic Design,Design
20317,2016,Problem Solving,Mathematics
20317,2016,Web Development,Computer Science
20317,2016,Digital Marketing,Business
20317,2016,Public Speaking,Communication
79097,1988,Graphic Design,Design
79097,2012,Data Analysis,Statistics
79097,2012,Digital Marketing,Business
79097,2012,Project Management,Business
79097,2016,Programming,Computer Science
79097,2016,Graphic Design,Design
79097,2016,Problem Solving,Mathematics
79097,2016,Web Development,Computer Science
79097,2011,Graphic Design,Design
79097,2011,Marketing,Business
79097,2011,Creative Writing,Literature
79097,2011,Project Management,Business
79097,2011,Programming,Computer Science
79097,2008,Graphic Design,Design
79097,2008,Data Analysis,Statistics
79097,2008,Project Management,Business
79097,2008,Web Development,Computer Science
79097,2008,Digital Marketing,Business
61667,1995,Data Analysis,Statistics
61667,2013,Data Analysis,Statistics
61667,2013,Marketing,Business
61667,2013,Creative Writing,Literature
61667,2013,Web Development,Computer Science
61667,2013,Digital Marketing,Business
61667,1998,Problem Solving,Mathematics
61667,2017,Problem Solving,Mathematics
61667,2021,Data Analysis,Statistics
61667,2021,Problem Solving,Mathematics
61667,2021,Marketing,Business
61667,2021,Public Speaking,Communication
85284,2020,Programming,Computer Science
85284,2020,Marketing,Business
85284,2020,Project Management,Business
85284,2020,Web Development,Computer Science
60945,1999,Data Analysis,Statistics
60945,1999,Public Speaking,Communication
60945,1999,Web Development,Computer Science
60945,2010,Graphic Design,Design
60945,2010,Creative Writing,Literature
60945,2010,Problem Solving,Mathematics
60945,2010,Web Development,Computer Science
60945,2010,Public Speaking,Communication
42890,1991,Digital Marketing,Business
42890,1991,Graphic Design,Design
42890,1998,Marketing,Business
42890,1998,Public Speaking,Communication
42890,1998,Web Development,Computer Science
67336,2011,Public Speaking,Communication
67339,2012,Data Analysis,Statistics
67339,2012,Graphic Design,Design
67339,1987,Problem Solving,Mathematics
67339,1987,Project Management,Business
67339,1987,Programming,Computer Science
67339,1986,Public Speaking,Communication
67339,2005,Digital Marketing,Business
67339,2005,Marketing,Business
67339,2003,Data Analysis,Statistics
67339,2003,Marketing,Business
67339,2003,Public Speaking,Communication
96798,1984,Problem Solving,Mathematics
96798,1984,Project Management,Business
96798,1984,Creative Writing,Literature
96798,1984,Programming,Computer Science
78590,1982,Project Management,Business
78590,1993,Digital Marketing,Business
78590,1993,Programming,Computer Science
78590,2004,Digital Marketing,Business
78590,2004,Public Speaking,Communication
78590,2004,Creative Writing,Literature
78590,2004,Web Development,Computer Science
78590,1999,Data Analysis,Statistics
78590,1999,Public Speaking,Communication
34751,1989,Digital Marketing,Business
34751,1989,Web Development,Computer Science
34751,1995,Programming,Computer Science
34751,1995,Graphic Design,Design
34751,1995,Web Development,Computer Science
34751,2014,Problem Solving,Mathematics
34751,2014,Graphic Design,Design
34751,2014,Web Development,Computer Science
34751,1997,Public Speaking,Communication
34751,1997,Programming,Computer Science
34751,1987,Problem Solving,Mathematics
34751,1987,Project Management,Business
34751,1987,Programming,Computer Science
7976,2015,Web Development,Computer Science
7976,2015,Programming,Computer Science
7976,2007,Data Analysis,Statistics
7976,2007,Problem Solving,Mathematics
7976,2007,Project Management,Business
7976,2007,Web Development,Computer Science
7976,1984,Marketing,Business
7976,2001,Project Management,Business
23497,1998,Data Analysis,Statistics
23497,1998,Digital Marketing,Business
23497,1998,Programming,Computer Science
23497,1985,Data Analysis,Statistics
23497,1985,Digital Marketing,Business
23497,1985,Project Management,Business
23497,1985,Public Speaking,Communication
23497,2005,Programming,Computer Science
23497,2005,Graphic Design,Design
23497,2005,Problem Solving,Mathematics
23497,2005,Web Development,Computer Science
38853,1983,Data Analysis,Statistics
38853,1983,Project Management,Business
38853,1990,Creative Writing,Literature
38853,1995,Graphic Design,Design
38853,1995,Marketing,Business
38853,1995,Project Management,Business
38853,1995,Programming,Computer Science
38853,1987,Creative Writing,Literature
38853,1987,Web Development,Computer Science
38853,2022,Data Analysis,Statistics
38853,2022,Project Management,Business
38853,2022,Creative Writing,Literature
38853,2022,Web Development,Computer Science
90520,2003,Graphic Design,Design
90520,2003,Public Speaking,Communication
90520,1982,Data Analysis,Statistics
90520,1982,Marketing,Business
24887,1987,Data Analysis,Statistics
24887,1987,Public Speaking,Communication
56561,2010,Data Analysis,Statistics
56561,2010,Marketing,Business
56561,1982,Marketing,Business
56561,1982,Public Speaking,Communication
56561,1982,Web Development,Computer Science
98697,1995,Data Analysis,Statistics
98697,1995,Project Management,Business
98697,1995,Public Speaking,Communication
98697,1999,Public Speaking,Communication
98697,1997,Digital Marketing,Business
98697,1997,Marketing,Business
98697,1997,Project Management,Business
98697,1997,Programming,Computer Science
98697,2005,Problem Solving,Mathematics
98697,2005,Project Management,Business
98697,2005,Public Speaking,Communication
61728,2012,Data Analysis,Statistics
61728,2012,Problem Solving,Mathematics
61728,2012,Digital Marketing,Business
61728,2012,Web Development,Computer Science
61728,2016,Data Analysis,Statistics
61728,2016,Problem Solving,Mathematics
61728,2016,Creative Writing,Literature
61728,2011,Project Management,Business
61728,2011,Public Speaking,Communication
61728,2011,Web Development,Computer Science
61728,1982,Problem Solving,Mathematics
61728,1991,Programming,Computer Science
61728,1991,Digital Marketing,Business
61728,1991,Web Development,Computer Science
30782,2004,Data Analysis,Statistics
30782,2004,Graphic Design,Design
30782,2004,Digital Marketing,Business
30782,2004,Creative Writing,Literature
30782,2007,Problem Solving,Mathematics
30782,2007,Digital Marketing,Business
30782,2007,Web Development,Computer Science
30782,2008,Data Analysis,Statistics
30782,2008,Digital Marketing,Business
30782,2008,Project Management,Business
30782,2008,Web Development,Computer Science
30782,2018,Marketing,Business
30782,2018,Project Management,Business
30782,2018,Public Speaking,Communication
28461,2008,Digital Marketing,Business
28461,1996,Project Management,Business
28461,2015,Digital Marketing,Business
28461,2015,Project Management,Business
28461,2015,Creative Writing,Literature
58239,2021,Graphic Design,Design
58239,2021,Marketing,Business
58239,2021,Public Speaking,Communication
58239,2015,Data Analysis,Statistics
58239,2015,Digital Marketing,Business
58239,2015,Graphic Design,Design
58239,2015,Public Speaking,Communication
58239,1985,Digital Marketing,Business
58239,1985,Public Speaking,Communication
58239,1985,Creative Writing,Literature
68066,2014,Digital Marketing,Business
68066,2014,Marketing,Business
68066,2014,Project Management,Business
68066,2014,Web Development,Computer Science
68066,1994,Data Analysis,Statistics
68066,1994,Digital Marketing,Business
68066,1994,Marketing,Business
68066,1994,Creative Writing,Literature
68066,1985,Data Analysis,Statistics
68066,1985,Graphic Design,Design
68066,1985,Marketing,Business
68066,1985,Creative Writing,Literature
97355,2004,Data Analysis,Statistics
97355,1999,Data Analysis,Statistics
97355,1999,Problem Solving,Mathematics
97355,1999,Graphic Design,Design
97355,1999,Creative Writing,Literature
97355,1994,Problem Solving,Mathematics
97355,1994,Digital Marketing,Business
97355,1994,Creative Writing,Literature
97355,1994,Programming,Computer Science
97355,1997,Digital Marketing,Business
97355,1997,Graphic Design,Design
97355,1997,Public Speaking,Communication
97355,1997,Programming,Computer Science
67642,2012,Programming,Computer Science
67642,2012,Creative Writing,Literature
67642,2012,Web Development,Computer Science
67642,2010,Graphic Design,Design
67642,2010,Project Management,Business
67642,2011,Data Analysis,Statistics
67642,2011,Digital Marketing,Business
67642,2011,Creative Writing,Literature
67642,1984,Problem Solving,Mathematics
67642,1984,Graphic Design,Design
10678,2014,Graphic Design,Design
10678,2014,Data Analysis,Statistics
10678,2014,Project Management,Business
10678,2014,Web Development,Computer Science
10678,2014,Programming,Computer Science
10678,2011,Digital Marketing,Business
10678,2008,Marketing,Business
10678,2008,Public Speaking,Communication
10678,1986,Digital Marketing,Business
10678,1986,Web Development,Computer Science
10678,2007,Data Analysis,Statistics
10678,2007,Programming,Computer Science
10678,2007,Web Development,Computer Science
14623,1981,Graphic Design,Design
14623,1981,Marketing,Business
14623,1981,Creative Writing,Literature
14623,1981,Web Development,Computer Science
14623,1981,Programming,Computer Science
18892,2006,Digital Marketing,Business
67962,2004,Data Analysis,Statistics
67962,2004,Project Management,Business
67962,1981,Creative Writing,Literature
67962,2020,Public Speaking,Communication
67962,2020,Programming,Computer Science
54847,2005,Data Analysis,Statistics
54847,2005,Marketing,Business
54847,2005,Project Management,Business
54847,2005,Web Development,Computer Science
54847,2015,Problem Solving,Mathematics
54847,2015,Digital Marketing,Business
54847,2015,Public Speaking,Communication
66676,1991,Graphic Design,Design
66676,1991,Data Analysis,Statistics
66676,1991,Marketing,Business
66676,1991,Problem Solving,Mathematics
66676,1991,Public Speaking,Communication
66676,1980,Digital Marketing,Business
66676,1980,Creative Writing,Literature
66676,2014,Graphic Design,Design
66676,2014,Creative Writing,Literature
66676,2014,Project Management,Business
66676,2014,Digital Marketing,Business
66676,2014,Public Speaking,Communication
15602,2017,Graphic Design,Design
15602,2017,Public Speaking,Communication
15602,2017,Programming,Computer Science
15602,1998,Data Analysis,Statistics
15602,1998,Web Development,Computer Science
85074,2001,Web Development,Computer Science
85074,1988,Problem Solving,Mathematics
85074,1988,Programming,Computer Science
85074,1992,Problem Solving,Mathematics
85074,1992,Digital Marketing,Business
85074,2010,Problem Solving,Mathematics
85074,2010,Digital Marketing,Business
85074,2012,Problem Solving,Mathematics
85074,2012,Marketing,Business
85074,2012,Project Management,Business
85074,2012,Public Speaking,Communication
27375,1986,Graphic Design,Design
27375,1986,Marketing,Business
27375,1986,Project Management,Business
27375,1986,Programming,Computer Science
27375,2001,Marketing,Business
27375,2003,Data Analysis,Statistics
27375,2003,Web Development,Computer Science
27375,2003,Digital Marketing,Business
27375,2003,Public Speaking,Communication
27375,2003,Programming,Computer Science
27375,2013,Project Management,Business
27375,1997,Data Analysis,Statistics
27375,1997,Digital Marketing,Business
27375,1997,Project Management,Business
27375,1997,Creative Writing,Literature
8854,1989,Graphic Design,Design
8854,1989,Public Speaking,Communication
8854,1989,Programming,Computer Science
27084,2008,Data Analysis,Statistics
27084,2008,Project Management,Business
27084,2021,Problem Solving,Mathematics
27084,2021,Digital Marketing,Business
27084,1996,Problem Solving,Mathematics
27084,1996,Digital Marketing,Business
27084,1996,Marketing,Business
11378,1993,Problem Solving,Mathematics
11378,1993,Creative Writing,Literature
11378,2011,Public Speaking,Communication
13520,2013,Digital Marketing,Business
13520,2013,Web Development,Computer Science
13520,2006,Data Analysis,Statistics
13520,2006,Graphic Design,Design
13520,2006,Project Management,Business
13520,2006,Creative Writing,Literature
13520,1980,Data Analysis,Statistics
13520,1980,Project Management,Business
13520,1980,Programming,Computer Science
13520,1987,Graphic Design,Design
13520,1987,Project Management,Business
13520,1987,Public Speaking,Communication
13520,1987,Web Development,Computer Science
13520,2016,Data Analysis,Statistics
13520,2016,Public Speaking,Communication
13520,2016,Web Development,Computer Science
42802,2022,Project Management,Business
42802,2018,Data Analysis,Statistics
42802,2018,Creative Writing,Literature
42802,2018,Problem Solving,Mathematics
42802,2018,Web Development,Computer Science
42802,2018,Programming,Computer Science
42802,2008,Data Analysis,Statistics
42802,2008,Graphic Design,Design
42802,2008,Web Development,Computer Science
42802,2008,Programming,Computer Science
42802,2003,Data Analysis,Statistics
42802,2003,Graphic Design,Design
42802,2003,Programming,Computer Science
11860,1998,Problem Solving,Mathematics
11860,1998,Public Speaking,Communication
11860,1990,Graphic Design,Design
11860,1990,Marketing,Business
11860,1990,Public Speaking,Communication
45317,2014,Public Speaking,Communication
45317,2017,Data Analysis,Statistics
45317,1983,Project Management,Business
45317,1983,Creative Writing,Literature
45317,2000,Problem Solving,Mathematics
45317,2000,Digital Marketing,Business
45317,2000,Public Speaking,Communication
45317,2000,Programming,Computer Science
9445,2010,Data Analysis,Statistics
9445,2010,Digital Marketing,Business
40304,2007,Data Analysis,Statistics
40304,2007,Public Speaking,Communication
67355,2015,Graphic Design,Design
67355,2015,Marketing,Business
67355,2015,Creative Writing,Literature
67355,2015,Project Management,Business
67355,2015,Web Development,Computer Science
58768,2020,Problem Solving,Mathematics
41617,1999,Graphic Design,Design
41617,1999,Marketing,Business
41617,1999,Project Management,Business
41617,1999,Web Development,Computer Science
41617,1999,Programming,Computer Science
41617,1980,Data Analysis,Statistics
41617,1980,Marketing,Business
41617,1980,Creative Writing,Literature
41617,1980,Problem Solving,Mathematics
41617,1980,Web Development,Computer Science
41617,2014,Data Analysis,Statistics
41617,2014,Problem Solving,Mathematics
41617,2014,Public Speaking,Communication
41617,2019,Digital Marketing,Business
41617,2019,Project Management,Business
65554,1992,Data Analysis,Statistics
65554,2004,Problem Solving,Mathematics
65554,2004,Marketing,Business
65554,2004,Project Management,Business
65554,2004,Programming,Computer Science
65554,2013,Web Development,Computer Science
65554,1983,Web Development,Computer Science
99284,1990,Public Speaking,Communication
99284,1990,Creative Writing,Literature
22944,2013,Graphic Design,Design
22944,2013,Digital Marketing,Business
22944,2013,Creative Writing,Literature
22944,1988,Digital Marketing,Business
22944,1988,Public Speaking,Communication
22944,1988,Creative Writing,Literature
22944,2017,Web Development,Computer Science
22944,2017,Creative Writing,Literature
22944,2017,Programming,Computer Science
22944,2006,Graphic Design,Design
22944,2006,Marketing,Business
22944,2006,Creative Writing,Literature
22944,2006,Web Development,Computer Science
22944,2006,Digital Marketing,Business
22944,2002,Problem Solving,Mathematics
22944,2002,Creative Writing,Literature
22944,2002,Web Development,Computer Science
60866,2017,Graphic Design,Design
60866,2017,Creative Writing,Literature
60866,1986,Graphic Design,Design
60866,1986,Data Analysis,Statistics
60866,1986,Creative Writing,Literature
60866,1986,Web Development,Computer Science
60866,1986,Public Speaking,Communication
60866,1983,Web Development,Computer Science
60866,1980,Data Analysis,Statistics
60866,1980,Problem Solving,Mathematics
60866,1980,Project Management,Business
60866,1980,Creative Writing,Literature
60866,1996,Problem Solving,Mathematics
60866,1996,Digital Marketing,Business
60866,1996,Creative Writing,Literature
93310,2005,Data Analysis,Statistics
93310,2005,Problem Solving,Mathematics
93310,2005,Project Management,Business
93310,2003,Digital Marketing,Business
93310,2006,Marketing,Business
93310,2006,Public Speaking,Communication
93310,2006,Web Development,Computer Science
93310,1995,Problem Solving,Mathematics
93310,1995,Graphic Design,Design
93310,1995,Digital Marketing,Business
93310,1995,Creative Writing,Literature
84154,2020,Problem Solving,Mathematics
84154,2020,Digital Marketing,Business
84154,2020,Marketing,Business
84154,2020,Creative Writing,Literature
84154,1992,Public Speaking,Communication
84154,1992,Programming,Computer Science
84154,2008,Public Speaking,Communication
84154,2008,Creative Writing,Literature
84154,2008,Programming,Computer Science
52850,2000,Data Analysis,Statistics
52850,2000,Digital Marketing,Business
52850,2000,Marketing,Business
52850,2000,Programming,Computer Science
52850,2018,Creative Writing,Literature
52850,1980,Problem Solving,Mathematics
52850,1988,Project Management,Business
52850,2003,Data Analysis,Statistics
52850,2003,Web Development,Computer Science
36535,2014,Public Speaking,Communication
36535,2014,Programming,Computer Science
36535,2012,Digital Marketing,Business
36535,2012,Marketing,Business
36535,2012,Public Speaking,Communication
36535,2012,Web Development,Computer Science
36535,1987,Data Analysis,Statistics
36535,1987,Project Management,Business
62336,2006,Data Analysis,Statistics
62336,2006,Project Management,Business
62336,2006,Web Development,Computer Science
62336,2005,Problem Solving,Mathematics
62336,2005,Digital Marketing,Business
69052,1983,Digital Marketing,Business
69052,1983,Public Speaking,Communication
69052,1983,Creative Writing,Literature
69052,2021,Graphic Design,Design
69052,2021,Marketing,Business
69052,2021,Project Management,Business
69052,2021,Web Development,Computer Science
69052,2008,Marketing,Business
69052,2008,Public Speaking,Communication
69052,2008,Programming,Computer Science
69052,1989,Graphic Design,Design
69052,1989,Marketing,Business
90891,1999,Problem Solving,Mathematics
90891,1999,Digital Marketing,Business
90891,1999,Public Speaking,Communication
90891,1999,Creative Writing,Literature
90891,2012,Data Analysis,Statistics
90891,1996,Data Analysis,Statistics
90891,1996,Project Management,Business
90891,1996,Creative Writing,Literature
97433,1980,Data Analysis,Statistics
97433,1980,Public Speaking,Communication
97433,1980,Creative Writing,Literature
97433,1980,Programming,Computer Science
97433,2018,Digital Marketing,Business
97433,2018,Public Speaking,Communication
97433,2018,Web Development,Computer Science
97433,2008,Problem Solving,Mathematics
97433,2008,Programming,Computer Science
97433,2019,Marketing,Business
97433,2019,Creative Writing,Literature
97433,2019,Programming,Computer Science
2724,2001,Data Analysis,Statistics
2724,2001,Problem Solving,Mathematics
2724,2001,Programming,Computer Science
2724,2002,Graphic Design,Design
2724,2002,Programming,Computer Science
2724,2014,Graphic Design,Design
2724,2014,Marketing,Business
36283,1998,Web Development,Computer Science
36283,1998,Project Management,Business
36283,1998,Creative Writing,Literature
36283,1998,Programming,Computer Science
54806,2016,Data Analysis,Statistics
54806,2016,Marketing,Business
54806,2016,Web Development,Computer Science
54806,2016,Public Speaking,Communication
54806,2016,Programming,Computer Science
54806,1997,Problem Solving,Mathematics
54806,1997,Graphic Design,Design
54806,1997,Project Management,Business
54806,2007,Data Analysis,Statistics
54806,1989,Programming,Computer Science
54806,1989,Graphic Design,Design
54806,1989,Web Development,Computer Science
54806,1995,Problem Solving,Mathematics
54806,1995,Digital Marketing,Business
54806,1995,Graphic Design,Design
77737,1990,Data Analysis,Statistics
77737,1990,Graphic Design,Design
77737,1990,Marketing,Business
77737,1990,Public Speaking,Communication
77737,2016,Project Management,Business
77737,2021,Web Development,Computer Science
77737,2021,Creative Writing,Literature
77737,2021,Programming,Computer Science
77737,2011,Data Analysis,Statistics
77737,2011,Public Speaking,Communication
77737,2011,Creative Writing,Literature
33751,1991,Problem Solving,Mathematics
33751,1983,Digital Marketing,Business
33751,1992,Problem Solving,Mathematics
33751,1992,Project Management,Business
33751,1992,Creative Writing,Literature
33751,1994,Graphic Design,Design
27965,2017,Graphic Design,Design
27965,2017,Project Management,Business
27965,2017,Web Development,Computer Science
27965,2014,Web Development,Computer Science
27965,2014,Project Management,Business
27965,2014,Programming,Computer Science
14858,1996,Graphic Design,Design
14858,1996,Digital Marketing,Business
14858,1996,Creative Writing,Literature
14858,1996,Web Development,Computer Science
14858,1982,Data Analysis,Statistics
14858,1982,Marketing,Business
14858,1982,Web Development,Computer Science
14858,2009,Public Speaking,Communication
20611,1983,Problem Solving,Mathematics
20611,1983,Marketing,Business
20611,1983,Project Management,Business
20611,1981,Data Analysis,Statistics
20611,1981,Marketing,Business
20611,1998,Data Analysis,Statistics
20611,1998,Project Management,Business
20611,1998,Creative Writing,Literature
20611,1998,Web Development,Computer Science
20611,1980,Creative Writing,Literature
20611,1980,Problem Solving,Mathematics
20611,1980,Digital Marketing,Business
20611,1980,Public Speaking,Communication
20611,1980,Programming,Computer Science
20611,2009,Digital Marketing,Business
20611,2009,Marketing,Business
20611,2009,Project Management,Business
20611,2009,Creative Writing,Literature
66355,2009,Graphic Design,Design
66355,2009,Digital Marketing,Business
66355,2009,Marketing,Business
71101,1995,Web Development,Computer Science
71101,1995,Programming,Computer Science
71101,2005,Project Management,Business
71101,2005,Creative Writing,Literature
71101,2005,Web Development,Computer Science
71101,1988,Problem Solving,Mathematics
71101,1988,Digital Marketing,Business
