Job_ID,Proficiency,Domain
16421,Problem Solving,Mathematics
16421,Graphic Design,Design
16421,Project Management,Business
48397,Problem Solving,Mathematics
48397,Marketing,Business
48397,Project Management,Business
46051,Problem Solving,Mathematics
46051,Marketing,Business
46051,Public Speaking,Communication
46051,Creative Writing,Literature
98349,Data Analysis,Statistics
98349,Public Speaking,Communication
98349,Web Development,Computer Science
39074,Project Management,Business
39074,Web Development,Computer Science
70078,Graphic Design,Design
92769,Digital Marketing,Business
93772,Graphic Design,Design
93772,Programming,Computer Science
91477,Public Speaking,Communication
91477,Programming,Computer Science
12549,Programming,Computer Science
62104,Problem Solving,Mathematics
62104,Public Speaking,Communication
4811,Graphic Design,Design
4811,Project Management,Business
4811,Creative Writing,Literature
53298,Marketing,Business
53298,Project Management,Business
53298,Creative Writing,Literature
53298,Programming,Computer Science
96231,Graphic Design,Design
96231,Marketing,Business
96231,Creative Writing,Literature
96231,Problem Solving,Mathematics
96231,Programming,Computer Science
30981,Data Analysis,Statistics
30981,Problem Solving,Mathematics
30981,Project Management,Business
30981,Web Development,Computer Science
30981,Public Speaking,Communication
94046,Programming,Computer Science
84822,Data Analysis,Statistics
84822,Problem Solving,Mathematics
84822,Public Speaking,Communication
84822,Creative Writing,Literature
26833,Problem Solving,Mathematics
26833,Digital Marketing,Business
26833,Creative Writing,Literature
26833,Programming,Computer Science
1167,Problem Solving,Mathematics
1167,Graphic Design,Design
1167,Public Speaking,Communication
1167,Programming,Computer Science
46362,Graphic Design,Design
46362,Public Speaking,Communication
46362,Programming,Computer Science
96276,Web Development,Computer Science
96276,Project Management,Business
96276,Creative Writing,Literature
96276,Programming,Computer Science
27262,Public Speaking,Communication
27262,Creative Writing,Literature
63261,Problem Solving,Mathematics
63261,Project Management,Business
63261,Creative Writing,Literature
63261,Programming,Computer Science
9024,Data Analysis,Statistics
9024,Project Management,Business
9024,Web Development,Computer Science
41438,Graphic Design,Design
41438,Digital Marketing,Business
41438,Public Speaking,Communication
95639,Web Development,Computer Science
95639,Programming,Computer Science
53689,Public Speaking,Communication
53689,Web Development,Computer Science
25213,Data Analysis,Statistics
25213,Digital Marketing,Business
25213,Marketing,Business
25357,Problem Solving,Mathematics
25357,Public Speaking,Communication
64957,Marketing,Business
97482,Data Analysis,Statistics
97482,Creative Writing,Literature
97482,Problem Solving,Mathematics
97482,Project Management,Business
97482,Programming,Computer Science
10381,Marketing,Business
10381,Programming,Computer Science
34537,Digital Marketing,Business
34537,Marketing,Business
34537,Public Speaking,Communication
10020,Programming,Computer Science
56942,Data Analysis,Statistics
56942,Problem Solving,Mathematics
56942,Public Speaking,Communication
58819,Data Analysis,Statistics
58819,Marketing,Business
58819,Creative Writing,Literature
58819,Web Development,Computer Science
96091,Creative Writing,Literature
96091,Programming,Computer Science
72103,Data Analysis,Statistics
72103,Problem Solving,Mathematics
72103,Digital Marketing,Business
72103,Marketing,Business
2448,Graphic Design,Design
2448,Public Speaking,Communication
2448,Web Development,Computer Science
5963,Problem Solving,Mathematics
5963,Graphic Design,Design
5963,Project Management,Business
55416,Marketing,Business
55416,Public Speaking,Communication
55416,Web Development,Computer Science
33368,Graphic Design,Design
33368,Marketing,Business
33368,Public Speaking,Communication
33368,Programming,Computer Science
36119,Data Analysis,Statistics
36119,Problem Solving,Mathematics
36119,Project Management,Business
36119,Web Development,Computer Science
31179,Digital Marketing,Business
31179,Creative Writing,Literature
94543,Digital Marketing,Business
94543,Web Development,Computer Science
44161,Data Analysis,Statistics
44161,Graphic Design,Design
27592,Project Management,Business
80990,Problem Solving,Mathematics
80990,Digital Marketing,Business
80990,Public Speaking,Communication
73937,Problem Solving,Mathematics
73937,Web Development,Computer Science
16689,Marketing,Business
16689,Public Speaking,Communication
29358,Problem Solving,Mathematics
29358,Graphic Design,Design
43806,Marketing,Business
43806,Project Management,Business
43806,Web Development,Computer Science
53,Project Management,Business
53,Public Speaking,Communication
23523,Problem Solving,Mathematics
23523,Digital Marketing,Business
23523,Creative Writing,Literature
80254,Problem Solving,Mathematics
80254,Creative Writing,Literature
84251,Problem Solving,Mathematics
84251,Programming,Computer Science
95180,Digital Marketing,Business
95180,Marketing,Business
89505,Creative Writing,Literature
2829,Data Analysis,Statistics
2829,Graphic Design,Design
2829,Public Speaking,Communication
2829,Creative Writing,Literature
369,Problem Solving,Mathematics
369,Graphic Design,Design
3267,Data Analysis,Statistics
21427,Digital Marketing,Business
21427,Web Development,Computer Science
73211,Data Analysis,Statistics
17606,Graphic Design,Design
17606,Public Speaking,Communication
17606,Web Development,Computer Science
56250,Problem Solving,Mathematics
56250,Graphic Design,Design
56250,Marketing,Business
56250,Project Management,Business
17717,Graphic Design,Design
17717,Digital Marketing,Business
17717,Public Speaking,Communication
84958,Digital Marketing,Business
75327,Graphic Design,Design
75327,Project Management,Business
75327,Programming,Computer Science
74497,Programming,Computer Science
36608,Data Analysis,Statistics
36608,Graphic Design,Design
36608,Programming,Computer Science
69785,Marketing,Business
69785,Project Management,Business
69785,Digital Marketing,Business
69785,Public Speaking,Communication
69785,Programming,Computer Science
19208,Data Analysis,Statistics
19208,Problem Solving,Mathematics
43604,Data Analysis,Statistics
43604,Problem Solving,Mathematics
43604,Marketing,Business
43604,Project Management,Business
63837,Data Analysis,Statistics
63837,Project Management,Business
63837,Web Development,Computer Science
32118,Problem Solving,Mathematics
32118,Digital Marketing,Business
45644,Marketing,Business
61793,Graphic Design,Design
61793,Public Speaking,Communication
87370,Data Analysis,Statistics
87370,Project Management,Business
87370,Programming,Computer Science
57857,Creative Writing,Literature
57857,Programming,Computer Science
46123,Data Analysis,Statistics
46123,Graphic Design,Design
12915,Data Analysis,Statistics
12915,Public Speaking,Communication
12915,Creative Writing,Literature
12915,Web Development,Computer Science
52463,Problem Solving,Mathematics
61856,Problem Solving,Mathematics
61856,Project Management,Business
61856,Programming,Computer Science
68315,Problem Solving,Mathematics
68315,Digital Marketing,Business
68315,Web Development,Computer Science
7721,Data Analysis,Statistics
7721,Digital Marketing,Business
7721,Graphic Design,Design
7721,Creative Writing,Literature
77609,Public Speaking,Communication
59686,Public Speaking,Communication
59686,Programming,Computer Science
51932,Digital Marketing,Business
51932,Graphic Design,Design
4215,Marketing,Business
4215,Creative Writing,Literature
31794,Problem Solving,Mathematics
56898,Public Speaking,Communication
56898,Web Development,Computer Science
7585,Data Analysis,Statistics
7585,Digital Marketing,Business
7585,Public Speaking,Communication
7585,Creative Writing,Literature
25408,Data Analysis,Statistics
25408,Digital Marketing,Business
25408,Public Speaking,Communication
71636,Problem Solving,Mathematics
71636,Programming,Computer Science
18682,Data Analysis,Statistics
18682,Problem Solving,Mathematics
18682,Digital Marketing,Business
18682,Marketing,Business
30691,Programming,Computer Science
83692,Problem Solving,Mathematics
83692,Marketing,Business
50467,Digital Marketing,Business
50467,Web Development,Computer Science
23103,Data Analysis,Statistics
57936,Graphic Design,Design
57936,Marketing,Business
57936,Public Speaking,Communication
57936,Creative Writing,Literature
96389,Web Development,Computer Science
96389,Public Speaking,Communication
96389,Programming,Computer Science
28339,Programming,Computer Science
28339,Project Management,Business
28339,Web Development,Computer Science
58958,Problem Solving,Mathematics
58958,Digital Marketing,Business
58958,Programming,Computer Science
22988,Data Analysis,Statistics
22988,Public Speaking,Communication
22988,Creative Writing,Literature
22988,Programming,Computer Science
44758,Creative Writing,Literature
44758,Project Management,Business
44758,Web Development,Computer Science
44758,Digital Marketing,Business
44758,Programming,Computer Science
33900,Marketing,Business
33900,Programming,Computer Science
20699,Problem Solving,Mathematics
20699,Marketing,Business
20699,Project Management,Business
20512,Web Development,Computer Science
57607,Data Analysis,Statistics
57607,Marketing,Business
57607,Project Management,Business
32021,Public Speaking,Communication
32021,Programming,Computer Science
75009,Data Analysis,Statistics
75009,Marketing,Business
75009,Creative Writing,Literature
47260,Data Analysis,Statistics
47260,Creative Writing,Literature
8517,Data Analysis,Statistics
8517,Marketing,Business
8517,Public Speaking,Communication
8517,Programming,Computer Science
75371,Data Analysis,Statistics
21630,Programming,Computer Science
21367,Problem Solving,Mathematics
21367,Programming,Computer Science
7966,Data Analysis,Statistics
7966,Digital Marketing,Business
7966,Marketing,Business
7966,Programming,Computer Science
11512,Graphic Design,Design
11512,Web Development,Computer Science
39138,Digital Marketing,Business
39138,Marketing,Business
39138,Programming,Computer Science
100000,Problem Solving,Mathematics
100000,Project Management,Business
100000,Public Speaking,Communication
3348,Data Analysis,Statistics
3348,Marketing,Business
3348,Public Speaking,Communication
1881,Programming,Computer Science
74347,Digital Marketing,Business
74347,Creative Writing,Literature
74347,Web Development,Computer Science
93634,Graphic Design,Design
93634,Data Analysis,Statistics
93634,Web Development,Computer Science
93634,Digital Marketing,Business
93634,Programming,Computer Science
70011,Digital Marketing,Business
70011,Project Management,Business
70011,Creative Writing,Literature
70011,Programming,Computer Science
70380,Graphic Design,Design
70380,Project Management,Business
70380,Public Speaking,Communication
34444,Data Analysis,Statistics
34444,Graphic Design,Design
38496,Data Analysis,Statistics
38496,Web Development,Computer Science
38496,Project Management,Business
38496,Programming,Computer Science
40560,Data Analysis,Statistics
40560,Problem Solving,Mathematics
40560,Marketing,Business
66749,Problem Solving,Mathematics
66749,Graphic Design,Design
66749,Creative Writing,Literature
27652,Public Speaking,Communication
29682,Data Analysis,Statistics
29682,Problem Solving,Mathematics
29682,Digital Marketing,Business
12311,Project Management,Business
54697,Marketing,Business
54697,Public Speaking,Communication
54697,Creative Writing,Literature
20104,Public Speaking,Communication
20104,Creative Writing,Literature
20104,Web Development,Computer Science
10423,Data Analysis,Statistics
10423,Graphic Design,Design
10423,Marketing,Business
80755,Problem Solving,Mathematics
80755,Graphic Design,Design
80755,Marketing,Business
80755,Public Speaking,Communication
59956,Marketing,Business
59956,Creative Writing,Literature
59956,Project Management,Business
59956,Digital Marketing,Business
59956,Programming,Computer Science
25047,Graphic Design,Design
25047,Marketing,Business
25047,Web Development,Computer Science
27916,Problem Solving,Mathematics
27916,Creative Writing,Literature
27916,Programming,Computer Science
19976,Marketing,Business
19976,Web Development,Computer Science
19976,Digital Marketing,Business
19976,Public Speaking,Communication
19976,Programming,Computer Science
92302,Problem Solving,Mathematics
92302,Project Management,Business
27402,Digital Marketing,Business
27402,Marketing,Business
27402,Programming,Computer Science
60986,Programming,Computer Science
60986,Digital Marketing,Business
60986,Project Management,Business
60986,Web Development,Computer Science
40472,Graphic Design,Design
40472,Marketing,Business
40472,Project Management,Business
40472,Web Development,Computer Science
81320,Data Analysis,Statistics
81320,Problem Solving,Mathematics
81320,Project Management,Business
81320,Public Speaking,Communication
85571,Data Analysis,Statistics
85571,Problem Solving,Mathematics
85571,Marketing,Business
90027,Public Speaking,Communication
90027,Web Development,Computer Science
13738,Project Management,Business
13738,Creative Writing,Literature
13738,Programming,Computer Science
29514,Graphic Design,Design
29514,Problem Solving,Mathematics
29514,Digital Marketing,Business
29514,Public Speaking,Communication
29514,Programming,Computer Science
15649,Graphic Design,Design
15649,Project Management,Business
99974,Problem Solving,Mathematics
99974,Project Management,Business
99974,Web Development,Computer Science
17464,Web Development,Computer Science
17464,Public Speaking,Communication
17464,Programming,Computer Science
97128,Problem Solving,Mathematics
36814,Creative Writing,Literature
90990,Digital Marketing,Business
18094,Data Analysis,Statistics
18094,Problem Solving,Mathematics
18094,Project Management,Business
18094,Public Speaking,Communication
20988,Problem Solving,Mathematics
20988,Web Development,Computer Science
20988,Programming,Computer Science
15424,Problem Solving,Mathematics
15424,Marketing,Business
15424,Creative Writing,Literature
22897,Graphic Design,Design
22897,Public Speaking,Communication
22897,Creative Writing,Literature
22897,Programming,Computer Science
82523,Graphic Design,Design
41054,Data Analysis,Statistics
41054,Programming,Computer Science
93426,Public Speaking,Communication
89607,Graphic Design,Design
89607,Digital Marketing,Business
89607,Marketing,Business
29321,Project Management,Business
29321,Public Speaking,Communication
26023,Data Analysis,Statistics
26023,Problem Solving,Mathematics
26023,Project Management,Business
26023,Programming,Computer Science
89229,Problem Solving,Mathematics
42398,Digital Marketing,Business
42398,Project Management,Business
42398,Public Speaking,Communication
88348,Data Analysis,Statistics
88348,Marketing,Business
88348,Project Management,Business
88348,Web Development,Computer Science
88348,Programming,Computer Science
66122,Data Analysis,Statistics
57993,Data Analysis,Statistics
92413,Data Analysis,Statistics
92413,Digital Marketing,Business
92413,Project Management,Business
36551,Graphic Design,Design
19791,Graphic Design,Design
19791,Marketing,Business
19791,Digital Marketing,Business
19791,Public Speaking,Communication
19791,Programming,Computer Science
28599,Public Speaking,Communication
57958,Programming,Computer Science
29402,Graphic Design,Design
29402,Data Analysis,Statistics
29402,Marketing,Business
29402,Project Management,Business
29402,Digital Marketing,Business
88198,Programming,Computer Science
88198,Creative Writing,Literature
88198,Web Development,Computer Science
30232,Digital Marketing,Business
30232,Creative Writing,Literature
82313,Problem Solving,Mathematics
82313,Creative Writing,Literature
82313,Programming,Computer Science
70310,Graphic Design,Design
70310,Marketing,Business
70310,Creative Writing,Literature
46459,Graphic Design,Design
46459,Marketing,Business
46459,Problem Solving,Mathematics
46459,Web Development,Computer Science
46459,Programming,Computer Science
75866,Data Analysis,Statistics
75866,Problem Solving,Mathematics
74614,Data Analysis,Statistics
74614,Graphic Design,Design
74614,Digital Marketing,Business
74614,Project Management,Business
85191,Data Analysis,Statistics
85191,Digital Marketing,Business
85191,Marketing,Business
85191,Public Speaking,Communication
53474,Marketing,Business
53474,Project Management,Business
53474,Public Speaking,Communication
79131,Digital Marketing,Business
79131,Public Speaking,Communication
7470,Digital Marketing,Business
7470,Graphic Design,Design
7470,Public Speaking,Communication
7731,Graphic Design,Design
7731,Creative Writing,Literature
7731,Web Development,Computer Science
7731,Digital Marketing,Business
7731,Public Speaking,Communication
51663,Digital Marketing,Business
51663,Web Development,Computer Science
51663,Project Management,Business
51663,Programming,Computer Science
99574,Marketing,Business
99574,Web Development,Computer Science
46919,Problem Solving,Mathematics
46919,Creative Writing,Literature
46919,Web Development,Computer Science
67176,Data Analysis,Statistics
67176,Programming,Computer Science
72155,Digital Marketing,Business
72155,Project Management,Business
33247,Digital Marketing,Business
33247,Graphic Design,Design
33247,Marketing,Business
17765,Creative Writing,Literature
64528,Marketing,Business
64528,Project Management,Business
64528,Public Speaking,Communication
64528,Creative Writing,Literature
85954,Marketing,Business
85954,Creative Writing,Literature
85954,Project Management,Business
85954,Public Speaking,Communication
85954,Programming,Computer Science
3404,Creative Writing,Literature
3404,Programming,Computer Science
66732,Digital Marketing,Business
34770,Data Analysis,Statistics
34770,Marketing,Business
34770,Project Management,Business
51756,Data Analysis,Statistics
51756,Digital Marketing,Business
51756,Graphic Design,Design
51756,Programming,Computer Science
97130,Data Analysis,Statistics
97130,Problem Solving,Mathematics
97130,Graphic Design,Design
97130,Marketing,Business
58926,Marketing,Business
58926,Creative Writing,Literature
38913,Marketing,Business
38913,Public Speaking,Communication
38913,Programming,Computer Science
89499,Digital Marketing,Business
89499,Marketing,Business
89499,Web Development,Computer Science
25070,Data Analysis,Statistics
94334,Project Management,Business
60229,Graphic Design,Design
60229,Web Development,Computer Science
60229,Project Management,Business
60229,Programming,Computer Science
81199,Data Analysis,Statistics
81199,Digital Marketing,Business
81199,Web Development,Computer Science
52977,Digital Marketing,Business
52977,Project Management,Business
96892,Marketing,Business
63603,Graphic Design,Design
63603,Marketing,Business
63603,Web Development,Computer Science
93040,Data Analysis,Statistics
93040,Marketing,Business
56124,Marketing,Business
56124,Project Management,Business
56124,Programming,Computer Science
55624,Graphic Design,Design
55624,Creative Writing,Literature
55624,Problem Solving,Mathematics
55624,Web Development,Computer Science
55624,Programming,Computer Science
1957,Public Speaking,Communication
92174,Web Development,Computer Science
1532,Graphic Design,Design
1532,Data Analysis,Statistics
1532,Creative Writing,Literature
1532,Problem Solving,Mathematics
1532,Web Development,Computer Science
99146,Data Analysis,Statistics
99146,Digital Marketing,Business
99146,Web Development,Computer Science
82419,Creative Writing,Literature
26118,Project Management,Business
39223,Problem Solving,Mathematics
23273,Marketing,Business
23273,Creative Writing,Literature
23273,Programming,Computer Science
53735,Graphic Design,Design
86976,Graphic Design,Design
79095,Data Analysis,Statistics
29366,Programming,Computer Science
29366,Web Development,Computer Science
61903,Problem Solving,Mathematics
61903,Marketing,Business
61903,Web Development,Computer Science
12310,Public Speaking,Communication
12310,Web Development,Computer Science
61748,Problem Solving,Mathematics
61748,Marketing,Business
61748,Project Management,Business
94403,Programming,Computer Science
3602,Data Analysis,Statistics
3602,Creative Writing,Literature
3602,Web Development,Computer Science
3602,Digital Marketing,Business
3602,Public Speaking,Communication
21206,Data Analysis,Statistics
21206,Creative Writing,Literature
21206,Problem Solving,Mathematics
21206,Project Management,Business
21206,Web Development,Computer Science
37793,Problem Solving,Mathematics
37793,Graphic Design,Design
37793,Programming,Computer Science
37793,Web Development,Computer Science
78667,Public Speaking,Communication
78667,Creative Writing,Literature
78667,Web Development,Computer Science
34637,Graphic Design,Design
34637,Data Analysis,Statistics
34637,Project Management,Business
34637,Digital Marketing,Business
34637,Programming,Computer Science
58818,Digital Marketing,Business
30656,Marketing,Business
30656,Public Speaking,Communication
30656,Programming,Computer Science
64763,Data Analysis,Statistics
64763,Marketing,Business
64763,Creative Writing,Literature
50541,Digital Marketing,Business
80255,Marketing,Business
80255,Web Development,Computer Science
54772,Data Analysis,Statistics
54772,Digital Marketing,Business
54772,Public Speaking,Communication
54772,Programming,Computer Science
839,Project Management,Business
23994,Graphic Design,Design
23994,Project Management,Business
23994,Public Speaking,Communication
66006,Problem Solving,Mathematics
66006,Public Speaking,Communication
20294,Graphic Design,Design
66876,Problem Solving,Mathematics
66876,Web Development,Computer Science
66876,Public Speaking,Communication
66876,Programming,Computer Science
89004,Creative Writing,Literature
14018,Data Analysis,Statistics
77384,Marketing,Business
77384,Public Speaking,Communication
77384,Programming,Computer Science
41439,Graphic Design,Design
41439,Marketing,Business
41439,Web Development,Computer Science
30183,Project Management,Business
30183,Public Speaking,Communication
30183,Creative Writing,Literature
19796,Data Analysis,Statistics
19796,Problem Solving,Mathematics
19796,Web Development,Computer Science
87006,Digital Marketing,Business
9772,Problem Solving,Mathematics
9772,Marketing,Business
91687,Marketing,Business
91687,Public Speaking,Communication
38695,Web Development,Computer Science
38695,Creative Writing,Literature
38695,Programming,Computer Science
56861,Digital Marketing,Business
30599,Graphic Design,Design
30599,Public Speaking,Communication
30599,Creative Writing,Literature
45142,Data Analysis,Statistics
45142,Marketing,Business
45142,Project Management,Business
45142,Web Development,Computer Science
66404,Marketing,Business
66404,Public Speaking,Communication
66404,Programming,Computer Science
80384,Graphic Design,Design
80384,Web Development,Computer Science
80384,Project Management,Business
80384,Programming,Computer Science
53567,Problem Solving,Mathematics
53567,Digital Marketing,Business
53567,Creative Writing,Literature
53567,Web Development,Computer Science
31707,Data Analysis,Statistics
31707,Graphic Design,Design
31707,Project Management,Business
2329,Data Analysis,Statistics
2329,Marketing,Business
2329,Public Speaking,Communication
91507,Digital Marketing,Business
91507,Graphic Design,Design
91507,Problem Solving,Mathematics
5451,Graphic Design,Design
81324,Data Analysis,Statistics
81324,Digital Marketing,Business
81324,Marketing,Business
81324,Web Development,Computer Science
8958,Data Analysis,Statistics
68553,Data Analysis,Statistics
68553,Marketing,Business
68553,Programming,Computer Science
94686,Creative Writing,Literature
80742,Problem Solving,Mathematics
80742,Graphic Design,Design
80742,Project Management,Business
80742,Public Speaking,Communication
93871,Problem Solving,Mathematics
93871,Project Management,Business
93871,Programming,Computer Science
46989,Project Management,Business
46989,Web Development,Computer Science
88054,Public Speaking,Communication
88054,Web Development,Computer Science
83040,Marketing,Business
83040,Creative Writing,Literature
83040,Problem Solving,Mathematics
83040,Project Management,Business
83040,Public Speaking,Communication
5806,Digital Marketing,Business
19912,Marketing,Business
8310,Problem Solving,Mathematics
8310,Web Development,Computer Science
34876,Data Analysis,Statistics
34876,Graphic Design,Design
34876,Marketing,Business
34876,Programming,Computer Science
44736,Digital Marketing,Business
44736,Project Management,Business
44736,Creative Writing,Literature
44736,Programming,Computer Science
58925,Graphic Design,Design
58925,Marketing,Business
58925,Project Management,Business
58925,Creative Writing,Literature
31987,Graphic Design,Design
31987,Marketing,Business
31987,Public Speaking,Communication
31987,Creative Writing,Literature
51431,Graphic Design,Design
